	ACCOAC	MDH	PTAr	CS	ACACT1r	PPC	PPCK	PFL	3-METHYL-3-BUTEN-1-OL
0	2.0	2.0	1.0	2.0	2.0	2.0	0.0	1.0	0.5735837738114828
1	2.0	2.0	2.0	2.0	2.0	2.0	0.0	1.0	0.572193495092137
2	1.0	2.0	1.0	2.0	2.0	2.0	0.0	1.0	0.5721669150159464
3	2.0	1.0	1.0	2.0	2.0	2.0	0.0	1.0	0.5720394141666343
4	2.0	2.0	1.0	2.0	2.0	1.0	0.0	1.0	0.57196748947892
5	2.0	2.0	2.0	2.0	2.0	1.0	0.0	1.0	0.5712817550751733
6	2.0	2.0	1.0	2.0	2.0	2.0	0.0	2.0	0.5709683506574814
7	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	0.5709153826749342
8	1.0	2.0	2.0	2.0	2.0	2.0	0.0	1.0	0.5707711118835377
9	2.0	1.0	2.0	2.0	2.0	2.0	0.0	1.0	0.5707686978969122
