Line Name,Measurement Type,Time,Value,Units
Strain 97,Optical Density,0.0,0.01,n/a
Strain 97,Optical Density,1.0,0.0170783525967775,n/a
Strain 97,Optical Density,2.0,0.029167012741985677,n/a
Strain 97,Optical Density,3.0,0.04981245278023285,n/a
Strain 97,Optical Density,4.0,0.08507146322911378,n/a
Strain 97,Optical Density,5.0,0.14528804449505991,n/a
Strain 97,Optical Density,6.0,0.2481280451982938,n/a
Strain 97,Optical Density,7.0,0.42376182450451044,n/a
Strain 97,Optical Density,8.0,0.7237153855940921,n/a
Strain 97,Optical Density,9.0,1.235986653488723,n/a
