Line Name,Measurement Type,Time,Value,Units
WT,CID:5793,0.0,22.070668648116943,mM
WT,CID:5793,1.0,21.844411929032873,mM
WT,CID:5793,2.0,21.457564049054074,mM
WT,CID:5793,3.0,20.79614156025504,mM
WT,CID:5793,4.0,19.665258514668537,mM
WT,CID:5793,5.0,17.731703964509308,mM
WT,CID:5793,6.0,14.425762458858287,mM
WT,CID:5793,7.0,8.773349270988255,mM
WT,CID:5793,8.0,0.0,mM
WT,CID:5793,9.0,0.0,mM
WT,CID:16741146,0.0,18.618338547831804,mM
WT,CID:16741146,1.0,18.4872647818574,mM
WT,CID:16741146,2.0,18.263158250598128,mM
WT,CID:16741146,3.0,17.879986706088822,mM
WT,CID:16741146,4.0,17.224849920486673,mM
WT,CID:16741146,5.0,16.104714007474765,mM
WT,CID:16741146,6.0,14.189534626323399,mM
WT,CID:16741146,7.0,10.915010508866285,mM
WT,CID:16741146,8.0,5.316313957861159,mM
WT,CID:16741146,9.0,5.316313957861159,mM
WT,CID:12988,0.0,0.0026466270376611185,mM
WT,CID:12988,1.0,0.007171761419342546,mM
WT,CID:12988,2.0,0.01490871901891849,mM
WT,CID:12988,3.0,0.028137168794899123,mM
WT,CID:12988,4.0,0.05075482970662923,mM
WT,CID:12988,5.0,0.08942592070981384,mM
WT,CID:12988,6.0,0.15554475082283425,mM
WT,CID:12988,7.0,0.2685930145802349,mM
WT,CID:12988,8.0,0.46188000887093,mM
WT,CID:12988,9.0,0.46188000887093,mM
