Line Name,Measurement Type,Time,Value,Units
Strain 97,EX_cm_e,0.0,0.0,mmol/gdwh
Strain 97,EX_cmp_e,0.0,0.0,mmol/gdwh
Strain 97,EX_co2_e,0.0,9.593168097728647,mmol/gdwh
Strain 97,EX_cobalt2_e,0.0,-1.338066596338163e-05,mmol/gdwh
Strain 97,DM_4crsol_c,0.0,0.00011935554039289865,mmol/gdwh
Strain 97,DM_5drib_c,0.0,0.00012042599366766939,mmol/gdwh
Strain 97,DM_aacald_c,0.0,0.0,mmol/gdwh
Strain 97,DM_amob_c,0.0,1.070453274770733e-06,mmol/gdwh
Strain 97,DM_mththf_c,0.0,0.00023978153406149783,mmol/gdwh
Strain 97,EX_colipa_e,0.0,0.0,mmol/gdwh
Strain 97,DM_oxam_c,0.0,0.0,mmol/gdwh
Strain 97,EX_glc__D_e,0.0,-10.0,mmol/gdwh
Strain 97,EX_glcn_e,0.0,0.0,mmol/gdwh
Strain 97,BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0,mmol/gdwh
Strain 97,EX_glcr_e,0.0,0.0,mmol/gdwh
Strain 97,EX_colipap_e,0.0,0.0,mmol/gdwh
Strain 97,EX_glcur_e,0.0,0.0,mmol/gdwh
Strain 97,EX_glcur1p_e,0.0,0.0,mmol/gdwh
Strain 97,BIOMASS_Ec_iJO1366_core_53p95M,0.0,0.5352266385352652,mmol/gdwh
Strain 97,EX_12ppd__R_e,0.0,0.0,mmol/gdwh
Strain 97,EX_gln__L_e,0.0,0.0,mmol/gdwh
Strain 97,EX_cpgn_e,0.0,0.0,mmol/gdwh
Strain 97,EX_glu__L_e,0.0,0.0,mmol/gdwh
Strain 97,EX_gly_e,0.0,0.0,mmol/gdwh
Strain 97,EX_glyald_e,0.0,0.0,mmol/gdwh
Strain 97,EX_glyb_e,0.0,0.0,mmol/gdwh
Strain 97,EX_glyc_e,0.0,0.0,mmol/gdwh
Strain 97,EX_12ppd__S_e,0.0,0.0,mmol/gdwh
Strain 97,EX_14glucan_e,0.0,0.0,mmol/gdwh
Strain 97,EX_cpgn_un_e,0.0,0.0,mmol/gdwh
