Line Name,Measurement Type,Value,Time,Units
Strain 1,CID:12988,0.0,9.0,mM
Strain 2,CID:12988,0.5521006566981328,9.0,mM
Strain 3,CID:12988,0.3491964628655708,9.0,mM
Strain 4,CID:12988,0.551849089642285,9.0,mM
Strain 5,CID:12988,0.0801168354764624,9.0,mM
Strain 6,CID:12988,0.0786466294538431,9.0,mM
Strain 7,CID:12988,0.5726483723065023,9.0,mM
Strain 8,CID:12988,0.11189822394885013,9.0,mM
Strain 9,CID:12988,0.0,9.0,mM
Strain 10,CID:12988,0.0,9.0,mM
Strain 11,CID:12988,0.0,9.0,mM
Strain 12,CID:12988,0.0,9.0,mM
Strain 13,CID:12988,0.0,9.0,mM
Strain 14,CID:12988,0.0,9.0,mM
Strain 15,CID:12988,0.0,9.0,mM
Strain 16,CID:12988,0.0,9.0,mM
Strain 17,CID:12988,0.49509660990603654,9.0,mM
Strain 18,CID:12988,0.0,9.0,mM
Strain 19,CID:12988,0.0,9.0,mM
Strain 20,CID:12988,0.0,9.0,mM
Strain 21,CID:12988,0.0,9.0,mM
Strain 22,CID:12988,0.10776788931727366,9.0,mM
Strain 23,CID:12988,0.0,9.0,mM
Strain 24,CID:12988,0.0,9.0,mM
Strain 25,CID:12988,0.0,9.0,mM
Strain 26,CID:12988,0.0,9.0,mM
Strain 27,CID:12988,0.0,9.0,mM
Strain 28,CID:12988,0.0,9.0,mM
Strain 29,CID:12988,0.0,9.0,mM
Strain 30,CID:12988,0.08715286904560315,9.0,mM
Strain 31,CID:12988,0.0,9.0,mM
Strain 32,CID:12988,0.0,9.0,mM
Strain 33,CID:12988,0.0,9.0,mM
Strain 34,CID:12988,0.0,9.0,mM
Strain 35,CID:12988,0.0,9.0,mM
Strain 36,CID:12988,0.3480226500750092,9.0,mM
Strain 37,CID:12988,0.0,9.0,mM
Strain 38,CID:12988,0.3657487264150976,9.0,mM
Strain 39,CID:12988,0.0801168354764624,9.0,mM
Strain 40,CID:12988,0.1077680721827784,9.0,mM
Strain 41,CID:12988,0.5726483723064942,9.0,mM
Strain 42,CID:12988,0.0,9.0,mM
Strain 43,CID:12988,0.0,9.0,mM
Strain 44,CID:12988,0.0,9.0,mM
Strain 45,CID:12988,0.0,9.0,mM
Strain 46,CID:12988,0.5726483723064975,9.0,mM
Strain 47,CID:12988,0.0,9.0,mM
Strain 48,CID:12988,0.572648372306493,9.0,mM
Strain 49,CID:12988,0.572648372306499,9.0,mM
Strain 50,CID:12988,0.0,9.0,mM
Strain 51,CID:12988,0.0,9.0,mM
Strain 52,CID:12988,0.0,9.0,mM
Strain 53,CID:12988,0.4562556964349428,9.0,mM
Strain 54,CID:12988,0.08441386879962273,9.0,mM
Strain 55,CID:12988,0.0,9.0,mM
Strain 56,CID:12988,0.0,9.0,mM
Strain 57,CID:12988,0.0,9.0,mM
Strain 58,CID:12988,0.11346228071574721,9.0,mM
Strain 59,CID:12988,0.0,9.0,mM
Strain 60,CID:12988,0.0,9.0,mM
Strain 61,CID:12988,0.0,9.0,mM
Strain 62,CID:12988,0.5527341150741544,9.0,mM
Strain 63,CID:12988,0.0,9.0,mM
Strain 64,CID:12988,0.0,9.0,mM
Strain 65,CID:12988,0.0,9.0,mM
Strain 66,CID:12988,0.0,9.0,mM
Strain 67,CID:12988,0.572648372306498,9.0,mM
Strain 68,CID:12988,0.0,9.0,mM
Strain 69,CID:12988,0.0,9.0,mM
Strain 70,CID:12988,0.0,9.0,mM
Strain 71,CID:12988,0.0,9.0,mM
Strain 72,CID:12988,0.36721037621195696,9.0,mM
Strain 73,CID:12988,0.10980721198125182,9.0,mM
Strain 74,CID:12988,0.0,9.0,mM
Strain 75,CID:12988,0.10980718505180409,9.0,mM
Strain 76,CID:12988,0.08573335475249501,9.0,mM
Strain 77,CID:12988,0.0,9.0,mM
Strain 78,CID:12988,0.4529176751570443,9.0,mM
Strain 79,CID:12988,0.0,9.0,mM
Strain 80,CID:12988,0.4964245287395541,9.0,mM
Strain 81,CID:12988,0.0,9.0,mM
Strain 82,CID:12988,0.0,9.0,mM
Strain 83,CID:12988,0.0,9.0,mM
Strain 84,CID:12988,0.0,9.0,mM
Strain 85,CID:12988,0.4134093536602075,9.0,mM
Strain 86,CID:12988,0.0,9.0,mM
Strain 87,CID:12988,0.0,9.0,mM
Strain 88,CID:12988,0.0,9.0,mM
Strain 89,CID:12988,0.0,9.0,mM
Strain 90,CID:12988,0.0,9.0,mM
Strain 91,CID:12988,0.0,9.0,mM
Strain 92,CID:12988,0.0,9.0,mM
Strain 93,CID:12988,0.0,9.0,mM
Strain 94,CID:12988,0.0,9.0,mM
Strain 95,CID:12988,0.0,9.0,mM
WT,CID:12988,0.46188000887094716,9.0,mM
