Line Name,Measurement Type,Time,Value,Units
Strain 97,CID:259994,0.0,0.0,mM
Strain 97,CID:439846,0.0,0.0,mM
Strain 97,CID:3718401,0.0,0.0,mM
Strain 97,CID:71296161,0.0,0.0,mM
Strain 97,CID:49859619,0.0,0.0,mM
Strain 97,CID:71296162,0.0,0.0,mM
Strain 97,CID:46906042,0.0,0.0,mM
Strain 97,CID:6419710,0.0,0.0,mM
Strain 97,CID:25203551,0.0,0.0,mM
Strain 97,CID:7006474,0.0,0.0,mM
Strain 97,CID:1549101,0.0,0.0,mM
Strain 97,CID:54694258,0.0,0.0,mM
Strain 97,CID:90657394,0.0,0.0,mM
Strain 97,CID:175,0.0,1.5200514458246772e-16,mM
Strain 97,CID:90658453,0.0,0.0,mM
Strain 97,CID:6971017,0.0,0.0,mM
Strain 97,CID:177,0.0,3.885780586188048e-16,mM
Strain 97,CID:5459847,0.0,0.0,mM
Strain 97,CID:6931501,0.0,0.0,mM
Strain 97,CID:439174,0.0,0.0,mM
Strain 97,CID:22952041,0.0,0.0,mM
Strain 97,CID:6857396,0.0,0.0,mM
Strain 97,CID:44229111,0.0,0.0,mM
Strain 97,CID:6971051,0.0,0.0,mM
Strain 97,CID:190,0.0,4.592286147313148e-16,mM
Strain 97,CID:60961,0.0,0.0,mM
Strain 97,CID:6992099,0.0,0.0,mM
Strain 97,CID:5257176,0.0,0.0,mM
Strain 97,CID:164533,0.0,0.0,mM
Strain 97,CID:4755801,0.0,0.0,mM
Strain 97,CID:7311725,0.0,2.457302523854839e-16,mM
Strain 97,CID:7311724,0.0,0.0,mM
Strain 97,CID:6992112,0.0,0.0,mM
Strain 97,CID:439507,0.0,0.0,mM
Strain 97,CID:204,0.0,0.0,mM
Strain 97,CID:15938965,0.0,9.516197353929913e-17,mM
Strain 97,CID:24802254,0.0,0.0,mM
Strain 97,CID:5460291,0.0,0.0,mM
Strain 97,CID:25244827,0.0,0.0,mM
Strain 97,CID:3717105,0.0,0.0,mM
Strain 97,CID:2724480,0.0,0.0,mM
Strain 97,CID:88031296,0.0,0.0,mM
Strain 97,CID:702,0.0,0.0,mM
Strain 97,CID:597,0.0,0.0,mM
Strain 97,CID:21604863,0.0,0.0,mM
Strain 97,CID:5462194,0.0,0.0,mM
Strain 97,CID:6992089,0.0,0.0,mM
Strain 97,CID:712,0.0,0.0,mM
Strain 97,CID:104815,0.0,0.0,mM
Strain 97,CID:6857431,0.0,0.0,mM
Strain 97,CID:27099,0.0,0.0,mM
Strain 97,CID:768,0.0,0.0,mM
Strain 97,CID:15939608,0.0,3.932039878880763e-17,mM
Strain 97,CID:27284,0.0,6.944150641713219e-17,mM
Strain 97,CID:29936,0.0,0.0,mM
Strain 97,CID:6419721,0.0,0.0,mM
Strain 97,CID:6419722,0.0,9.912705577010326e-19,mM
Strain 97,CID:121489511,0.0,0.0,mM
Strain 97,CID:90658043,0.0,0.0,mM
Strain 97,CID:16048613,0.0,0.0,mM
Strain 97,CID:6175,0.0,0.0,mM
Strain 97,CID:13730,0.0,0.0,mM
Strain 97,CID:22848660,0.0,0.0,mM
Strain 97,CID:283,0.0,0.0,mM
Strain 97,CID:6560210,0.0,3.832995610497528e-16,mM
Strain 97,CID:101162743,0.0,0.0,mM
Strain 97,CID:13711,0.0,0.0,mM
Strain 97,CID:439163,0.0,0.0,mM
Strain 97,CID:49859675,0.0,0.0,mM
Strain 97,CID:25245784,0.0,0.0,mM
Strain 97,CID:3034656,0.0,0.0,mM
Strain 97,CID:5460307,0.0,1.7763568394002505e-15,mM
Strain 97,CID:23421198,0.0,0.0,mM
Strain 97,CID:271,0.0,0.0,mM
Strain 97,CID:657272,0.0,0.0,mM
Strain 97,CID:49791955,0.0,0.0,mM
Strain 97,CID:135398596,0.0,0.0,mM
Strain 97,CID:25202983,0.0,0.0,mM
Strain 97,CID:135398592,0.0,0.0,mM
Strain 97,CID:57339260,0.0,0.0,mM
Strain 97,CID:23421199,0.0,5.181040781584064e-16,mM
Strain 97,CID:670,0.0,0.0,mM
Strain 97,CID:31193,0.0,0.0,mM
Strain 97,CID:439357,0.0,0.0,mM
Strain 97,CID:7098639,0.0,0.0,mM
Strain 97,CID:5459845,0.0,0.0,mM
Strain 97,CID:5461127,0.0,0.0,mM
Strain 97,CID:44229140,0.0,0.0,mM
Strain 97,CID:46173511,0.0,0.0,mM
Strain 97,CID:45266742,0.0,3.5041414214731503e-16,mM
Strain 97,CID:725,0.0,0.0,mM
Strain 97,CID:135398618,0.0,1.887379141862766e-16,mM
Strain 97,CID:7098621,0.0,0.0,mM
Strain 97,CID:135398613,0.0,0.0,mM
Strain 97,CID:305,0.0,0.0,mM
Strain 97,CID:135398593,0.0,0.0,mM
Strain 97,CID:31348,0.0,0.0,mM
Strain 97,CID:1068,0.0,0.0,mM
Strain 97,CID:679,0.0,0.0,mM
Strain 97,CID:312,0.0,0.0,mM
Strain 97,CID:7058165,0.0,0.0,mM
Strain 97,CID:5793,0.0,0.0,mM
Strain 97,CID:280,0.0,3.249433242805336e-16,mM
Strain 97,CID:6419706,0.0,0.0,mM
Strain 97,CID:5288393,0.0,0.0,mM
Strain 97,CID:104729,0.0,0.0,mM
Strain 97,CID:16740916,0.0,0.0,mM
Strain 97,CID:6992086,0.0,9.79608551139844e-18,mM
Strain 97,CID:14598502,0.0,1.3594567648471304e-17,mM
Strain 97,CID:76957149,0.0,0.0,mM
Strain 97,CID:101162745,0.0,0.0,mM
Strain 97,CID:5257127,0.0,0.0,mM
Strain 97,CID:79014,0.0,0.0,mM
Strain 97,CID:18601100,0.0,0.0,mM
Strain 97,CID:10917,0.0,0.0,mM
Strain 97,CID:13712,0.0,0.0,mM
Strain 97,CID:247,0.0,0.0,mM
Strain 97,CID:3611397,0.0,0.0,mM
