Line Name,Measurement Type,Time,Value,Units
WT,CID:1549101,0.0,2.4286128663675298e-18,mM
WT,CID:175,0.0,5.341502703111919e-17,mM
WT,CID:164533,0.0,1.850371707708594e-17,mM
WT,CID:15938965,0.0,1.5387330832582735e-18,mM
WT,CID:21604863,0.0,5.551115123125783e-17,mM
WT,CID:15939608,0.0,2.3129646346357427e-18,mM
WT,CID:27284,0.0,1.9712766772463718e-20,mM
WT,CID:1038,0.0,7.757620343060904e-17,mM
WT,CID:16741146,0.0,3.374207231703907e-17,mM
WT,CID:1778309,0.0,3.0839528461809902e-18,mM
WT,CID:1549101,1.0,2.4286128663675298e-18,mM
WT,CID:175,1.0,5.341502703111919e-17,mM
WT,CID:164533,1.0,1.850371707708594e-17,mM
WT,CID:15938965,1.0,1.5387330832582735e-18,mM
WT,CID:21604863,1.0,5.551115123125783e-17,mM
WT,CID:15939608,1.0,2.3129646346357427e-18,mM
WT,CID:27284,1.0,1.9712766772463718e-20,mM
WT,CID:1038,1.0,7.757620343060904e-17,mM
WT,CID:16741146,1.0,3.374207231703907e-17,mM
WT,CID:1778309,1.0,3.0839528461809902e-18,mM
WT,CID:1549101,2.0,2.4286128663675298e-18,mM
WT,CID:175,2.0,5.341502703111919e-17,mM
WT,CID:164533,2.0,1.850371707708594e-17,mM
WT,CID:15938965,2.0,1.5387330832582735e-18,mM
WT,CID:21604863,2.0,5.551115123125783e-17,mM
WT,CID:15939608,2.0,2.3129646346357427e-18,mM
WT,CID:27284,2.0,1.9712766772463718e-20,mM
WT,CID:1038,2.0,7.757620343060904e-17,mM
WT,CID:16741146,2.0,3.374207231703907e-17,mM
WT,CID:1778309,2.0,3.0839528461809902e-18,mM
WT,CID:1549101,3.0,2.4286128663675298e-18,mM
WT,CID:175,3.0,5.341502703111919e-17,mM
WT,CID:164533,3.0,1.850371707708594e-17,mM
WT,CID:15938965,3.0,1.5387330832582735e-18,mM
WT,CID:21604863,3.0,5.551115123125783e-17,mM
WT,CID:15939608,3.0,2.3129646346357427e-18,mM
WT,CID:27284,3.0,1.9712766772463718e-20,mM
WT,CID:1038,3.0,7.757620343060904e-17,mM
WT,CID:16741146,3.0,3.374207231703907e-17,mM
WT,CID:1778309,3.0,3.0839528461809902e-18,mM
WT,CID:1549101,4.0,2.4286128663675298e-18,mM
WT,CID:175,4.0,5.341502703111919e-17,mM
WT,CID:164533,4.0,1.850371707708594e-17,mM
WT,CID:15938965,4.0,1.5387330832582735e-18,mM
WT,CID:21604863,4.0,5.551115123125783e-17,mM
WT,CID:15939608,4.0,2.3129646346357427e-18,mM
WT,CID:27284,4.0,1.9712766772463718e-20,mM
WT,CID:1038,4.0,7.757620343060904e-17,mM
WT,CID:16741146,4.0,3.374207231703907e-17,mM
WT,CID:1778309,4.0,3.0839528461809902e-18,mM
WT,CID:1549101,5.0,2.4286128663675298e-18,mM
WT,CID:175,5.0,5.341502703111919e-17,mM
WT,CID:164533,5.0,1.850371707708594e-17,mM
WT,CID:15938965,5.0,1.5387330832582735e-18,mM
WT,CID:21604863,5.0,5.551115123125783e-17,mM
WT,CID:15939608,5.0,2.3129646346357427e-18,mM
WT,CID:27284,5.0,1.9712766772463718e-20,mM
WT,CID:1038,5.0,7.757620343060904e-17,mM
WT,CID:16741146,5.0,3.374207231703907e-17,mM
WT,CID:1778309,5.0,3.0839528461809902e-18,mM
WT,CID:1549101,6.0,2.4286128663675298e-18,mM
WT,CID:175,6.0,5.341502703111919e-17,mM
WT,CID:164533,6.0,1.850371707708594e-17,mM
WT,CID:15938965,6.0,1.5387330832582735e-18,mM
WT,CID:21604863,6.0,5.551115123125783e-17,mM
WT,CID:15939608,6.0,2.3129646346357427e-18,mM
WT,CID:27284,6.0,1.9712766772463718e-20,mM
WT,CID:1038,6.0,7.757620343060904e-17,mM
WT,CID:16741146,6.0,3.374207231703907e-17,mM
WT,CID:1778309,6.0,3.0839528461809902e-18,mM
WT,CID:1549101,7.0,2.4286128663675298e-18,mM
WT,CID:175,7.0,5.341502703111919e-17,mM
WT,CID:164533,7.0,1.850371707708594e-17,mM
WT,CID:15938965,7.0,1.5387330832582735e-18,mM
WT,CID:21604863,7.0,5.551115123125783e-17,mM
WT,CID:15939608,7.0,2.3129646346357427e-18,mM
WT,CID:27284,7.0,1.9712766772463718e-20,mM
WT,CID:1038,7.0,7.757620343060904e-17,mM
WT,CID:16741146,7.0,3.374207231703907e-17,mM
WT,CID:1778309,7.0,3.0839528461809902e-18,mM
WT,CID:1549101,8.0,2.4286128663675298e-18,mM
WT,CID:175,8.0,5.341502703111919e-17,mM
WT,CID:164533,8.0,1.850371707708594e-17,mM
WT,CID:15938965,8.0,1.5387330832582735e-18,mM
WT,CID:21604863,8.0,5.551115123125783e-17,mM
WT,CID:15939608,8.0,2.3129646346357427e-18,mM
WT,CID:27284,8.0,1.9712766772463718e-20,mM
WT,CID:1038,8.0,7.757620343060904e-17,mM
WT,CID:16741146,8.0,3.374207231703907e-17,mM
WT,CID:1778309,8.0,3.0839528461809902e-18,mM
