Line Name,Measurement Type,Time,Value,Units
Strain 97,P17115,0.0,0.02560827244516954,proteins/cell
Strain 97,P45395,0.0,0.022712917393722568,proteins/cell
Strain 97,P0A6A8,0.0,0.02860675340826319,proteins/cell
Strain 97,P76461,0.0,0.22709694229984384,proteins/cell
Strain 97,P77580,0.0,1.0238228149474873,proteins/cell
Strain 97,P24182,0.0,0.054959184405231,proteins/cell
Strain 97,P0A9Q5,0.0,0.054963938622140475,proteins/cell
Strain 97,P0ABD5,0.0,0.04983172191753955,proteins/cell
Strain 97,P00893,0.0,0.5675995171715277,proteins/cell
Strain 97,P17115,1.0,0.02650393786085405,proteins/cell
Strain 97,P45395,1.0,0.02361204601416159,proteins/cell
Strain 97,P0A6A8,1.0,0.02662791546893982,proteins/cell
Strain 97,P76461,1.0,0.22024943193687424,proteins/cell
Strain 97,P77580,1.0,1.0384462694940289,proteins/cell
Strain 97,P24182,1.0,0.05271843869922081,proteins/cell
Strain 97,P0A9Q5,1.0,0.05681205812186566,proteins/cell
Strain 97,P0ABD5,1.0,0.053859787523472716,proteins/cell
Strain 97,P00893,1.0,0.6045537518578602,proteins/cell
Strain 97,P17115,2.0,0.02566480276759429,proteins/cell
Strain 97,P45395,2.0,0.025473298526103975,proteins/cell
Strain 97,P0A6A8,2.0,0.02365935572260352,proteins/cell
Strain 97,P76461,2.0,0.23483532250216568,proteins/cell
Strain 97,P77580,2.0,1.0796305586117023,proteins/cell
Strain 97,P24182,2.0,0.050836715001894364,proteins/cell
Strain 97,P0A9Q5,2.0,0.05015677795197144,proteins/cell
Strain 97,P0ABD5,2.0,0.05024238395351092,proteins/cell
Strain 97,P00893,2.0,0.5857464455153018,proteins/cell
Strain 97,P17115,3.0,0.025357872389344963,proteins/cell
Strain 97,P45395,3.0,0.025344150237529072,proteins/cell
Strain 97,P0A6A8,3.0,0.027665497003287243,proteins/cell
Strain 97,P76461,3.0,0.22021185000423188,proteins/cell
Strain 97,P77580,3.0,1.1663710998583148,proteins/cell
Strain 97,P24182,3.0,0.04726036876743952,proteins/cell
Strain 97,P0A9Q5,3.0,0.053380923172352185,proteins/cell
Strain 97,P0ABD5,3.0,0.05451788378648832,proteins/cell
Strain 97,P00893,3.0,0.5114454873195751,proteins/cell
Strain 97,P17115,4.0,0.024825351863162693,proteins/cell
Strain 97,P45395,4.0,0.02724286656888837,proteins/cell
Strain 97,P0A6A8,4.0,0.0251157799437439,proteins/cell
Strain 97,P76461,4.0,0.2504045645468539,proteins/cell
Strain 97,P77580,4.0,1.0907190347452504,proteins/cell
Strain 97,P24182,4.0,0.050322274558387094,proteins/cell
Strain 97,P0A9Q5,4.0,0.05320975445965833,proteins/cell
Strain 97,P0ABD5,4.0,0.05034791501112199,proteins/cell
Strain 97,P00893,4.0,0.5486895231477247,proteins/cell
Strain 97,P17115,5.0,0.026767049551279627,proteins/cell
Strain 97,P45395,5.0,0.02628053326930309,proteins/cell
Strain 97,P0A6A8,5.0,0.026622410260688917,proteins/cell
Strain 97,P76461,5.0,0.23297788289807628,proteins/cell
Strain 97,P77580,5.0,1.0556295759738816,proteins/cell
Strain 97,P24182,5.0,0.05496101964965841,proteins/cell
Strain 97,P0A9Q5,5.0,0.05108494102950039,proteins/cell
Strain 97,P0ABD5,5.0,0.0508867400413172,proteins/cell
Strain 97,P00893,5.0,0.5979312545926115,proteins/cell
Strain 97,P17115,6.0,0.025990505630170812,proteins/cell
Strain 97,P45395,6.0,0.026865636529804945,proteins/cell
Strain 97,P0A6A8,6.0,0.02505698608380825,proteins/cell
Strain 97,P76461,6.0,0.22544459305227435,proteins/cell
Strain 97,P77580,6.0,1.0161021149572063,proteins/cell
Strain 97,P24182,6.0,0.050738637434362674,proteins/cell
Strain 97,P0A9Q5,6.0,0.05185356670864029,proteins/cell
Strain 97,P0ABD5,6.0,0.052010598465144865,proteins/cell
Strain 97,P00893,6.0,0.6033257898720162,proteins/cell
Strain 97,P17115,7.0,0.023383167936996026,proteins/cell
Strain 97,P45395,7.0,0.027320407046341207,proteins/cell
Strain 97,P0A6A8,7.0,0.02652950660806897,proteins/cell
Strain 97,P76461,7.0,0.23830882733964545,proteins/cell
Strain 97,P77580,7.0,1.1195766280064843,proteins/cell
Strain 97,P24182,7.0,0.050295584450351115,proteins/cell
Strain 97,P0A9Q5,7.0,0.055741508585657004,proteins/cell
Strain 97,P0ABD5,7.0,0.05024503961880375,proteins/cell
Strain 97,P00893,7.0,0.5749318356920358,proteins/cell
Strain 97,P17115,8.0,0.024821851173101532,proteins/cell
Strain 97,P45395,8.0,0.027473423562417547,proteins/cell
Strain 97,P0A6A8,8.0,0.027183099586549995,proteins/cell
Strain 97,P76461,8.0,0.22576571646106372,proteins/cell
Strain 97,P77580,8.0,1.0232457232893954,proteins/cell
Strain 97,P24182,8.0,0.05701132044598636,proteins/cell
Strain 97,P0A9Q5,8.0,0.05603954335215082,proteins/cell
Strain 97,P0ABD5,8.0,0.05093723104502417,proteins/cell
Strain 97,P00893,8.0,0.5483368075516342,proteins/cell
