Line Name,Measurement Type,Time,Value,Units
WT,P02931,0.0,0.0,proteins/cell
WT,P06996,0.0,0.0,proteins/cell
WT,P77747,0.0,0.0,proteins/cell
WT,P02932,0.0,0.0,proteins/cell
WT,P68183,0.0,0.0,proteins/cell
WT,P0AEX9,0.0,0.0,proteins/cell
WT,P02916,0.0,0.0,proteins/cell
WT,P68187,0.0,0.0,proteins/cell
WT,P02943,0.0,0.0,proteins/cell
WT,P08331,0.0,0.0,proteins/cell
WT,P39196,0.0,0.0,proteins/cell
WT,P31119,0.0,0.0,proteins/cell
WT,P37666,0.0,0.0,proteins/cell
WT,P46891,0.0,0.0,proteins/cell
WT,P0AEI6,0.0,0.0,proteins/cell
WT,P75895,0.0,0.0,proteins/cell
WT,P0A6Q6,0.0,1.4503378143878205e-06,proteins/cell
WT,P0A6Q3,0.0,0.0,proteins/cell
WT,P0AF12,0.0,0.0,proteins/cell
WT,P45395,0.0,0.02591781010445315,proteins/cell
WT,P17115,0.0,0.027205505716190802,proteins/cell
WT,P0A6A8,0.0,0.027742205992784614,proteins/cell
WT,P56258,0.0,0.0,proteins/cell
WT,P26612,0.0,0.0,proteins/cell
WT,P25718,0.0,0.0,proteins/cell
WT,Q46829,0.0,0.0,proteins/cell
WT,P50457,0.0,0.0,proteins/cell
WT,P22256,0.0,0.0,proteins/cell
WT,P77674,0.0,0.0,proteins/cell
WT,P77397,0.0,0.0,proteins/cell
WT,P25527,0.0,0.0,proteins/cell
WT,P76459,0.0,0.0,proteins/cell
WT,P76458,0.0,0.0,proteins/cell
WT,P76503,0.0,0.0,proteins/cell
WT,P76461,0.0,0.24146368945918403,proteins/cell
WT,P21151,0.0,0.0,proteins/cell
WT,P37677,0.0,0.0,proteins/cell
WT,P0AEK2,0.0,1.3048541294274263e-06,proteins/cell
WT,P76460,0.0,0.0,proteins/cell
WT,P77580,0.0,0.8853906383197714,proteins/cell
WT,P0A9Q7,0.0,0.0,proteins/cell
WT,P77567,0.0,0.0,proteins/cell
WT,P0AE76,0.0,0.0,proteins/cell
WT,P0A9Q5,0.0,0.050599687547125995,proteins/cell
WT,P0ABD5,0.0,0.05772164849006108,proteins/cell
WT,P0ABD8,0.0,0.05504668934127818,proteins/cell
WT,P24182,0.0,0.05233542372130147,proteins/cell
WT,P27550,0.0,0.0,proteins/cell
WT,P0A953,0.0,1.3162980715498052e-06,proteins/cell
WT,P0AAI5,0.0,0.0,proteins/cell
WT,P75959,0.0,0.0,proteins/cell
