Line Name,Measurement Type,Time,Value,Units
Strain 97,b0929,0.0,0.0,FPKM
Strain 97,b0241,0.0,0.0,FPKM
Strain 97,b2215,0.0,0.0,FPKM
Strain 97,b1377,0.0,0.0,FPKM
Strain 97,b4035,0.0,0.0,FPKM
Strain 97,b4034,0.0,0.0,FPKM
Strain 97,b4032,0.0,0.0,FPKM
Strain 97,b4033,0.0,0.0,FPKM
Strain 97,b4036,0.0,0.0,FPKM
Strain 97,b4213,0.0,0.0,FPKM
Strain 97,b2835,0.0,0.0,FPKM
Strain 97,b2836,0.0,0.0,FPKM
Strain 97,b3553,0.0,0.0,FPKM
Strain 97,b0446,0.0,0.0,FPKM
Strain 97,b1134,0.0,0.0,FPKM
Strain 97,b1009,0.0,0.0,FPKM
Strain 97,b0180,0.0,2.1234844646216373e-05,FPKM
Strain 97,b0954,0.0,0.0,FPKM
Strain 97,b0159,0.0,0.0,FPKM
Strain 97,b3197,0.0,0.39806352719175686,FPKM
Strain 97,b2708,0.0,0.4183764998401797,FPKM
Strain 97,b1094,0.0,0.47339636751779285,FPKM
Strain 97,b4481,0.0,0.0,FPKM
Strain 97,b1927,0.0,0.0,FPKM
Strain 97,b3571,0.0,0.0,FPKM
Strain 97,b2901,0.0,0.0,FPKM
Strain 97,b2662,0.0,0.0,FPKM
Strain 97,b1302,0.0,0.0,FPKM
Strain 97,b1444,0.0,0.0,FPKM
Strain 97,b0347,0.0,0.0,FPKM
Strain 97,b2663,0.0,0.0,FPKM
Strain 97,b2221,0.0,0.0,FPKM
Strain 97,b2222,0.0,0.0,FPKM
Strain 97,b2342,0.0,0.0,FPKM
Strain 97,b3845,0.0,0.0,FPKM
Strain 97,b2224,0.0,3.7083997082331734,FPKM
Strain 97,b3580,0.0,0.0,FPKM
Strain 97,b1093,0.0,2.051636334196633e-05,FPKM
Strain 97,b2223,0.0,0.0,FPKM
Strain 97,b0351,0.0,17.28447824847611,FPKM
Strain 97,b1241,0.0,0.0,FPKM
Strain 97,b1463,0.0,0.0,FPKM
Strain 97,b1993,0.0,0.0,FPKM
Strain 97,b3255,0.0,0.8678522583467934,FPKM
Strain 97,b3256,0.0,0.9304375711989511,FPKM
Strain 97,b2316,0.0,0.8207498552703302,FPKM
Strain 97,b0185,0.0,0.8166394162926408,FPKM
Strain 97,b4069,0.0,0.0,FPKM
Strain 97,b1095,0.0,0.0,FPKM
Strain 97,b2323,0.0,2.0960137568169962e-05,FPKM
Strain 97,b1119,0.0,0.0,FPKM
Strain 97,b3784,0.0,0.0,FPKM
Strain 97,b2416,0.0,0.0,FPKM
Strain 97,b2415,0.0,0.0,FPKM
Strain 97,b1101,0.0,209.08709914012587,FPKM
Strain 97,b2417,0.0,0.0,FPKM
Strain 97,b0679,0.0,0.0,FPKM
Strain 97,b3959,0.0,3.361793914016483,FPKM
Strain 97,b2818,0.0,3.5691314430621923,FPKM
Strain 97,b3671,0.0,10.757014108998163,FPKM
Strain 97,b0078,0.0,8.680707363056474,FPKM
Strain 97,b3670,0.0,9.664486361148041,FPKM
Strain 97,b0077,0.0,10.468522911612773,FPKM
Strain 97,b3115,0.0,0.0,FPKM
Strain 97,b2296,0.0,19.07040520763755,FPKM
Strain 97,b1849,0.0,0.0,FPKM
Strain 97,b2428,0.0,0.0,FPKM
Strain 97,b3794,0.0,0.0,FPKM
Strain 97,b1819,0.0,0.0,FPKM
Strain 97,b1818,0.0,0.0,FPKM
Strain 97,b1817,0.0,0.0,FPKM
Strain 97,b2429,0.0,0.0,FPKM
Strain 97,b1397,0.0,0.0,FPKM
Strain 97,b3224,0.0,0.0,FPKM
Strain 97,b1247,0.0,0.0,FPKM
Strain 97,b1245,0.0,0.0,FPKM
Strain 97,b1244,0.0,0.0,FPKM
Strain 97,b1329,0.0,0.0,FPKM
Strain 97,b1246,0.0,0.0,FPKM
Strain 97,b1386,0.0,0.0,FPKM
Strain 97,b4311,0.0,0.0,FPKM
Strain 97,b3225,0.0,0.0,FPKM
Strain 97,b0221,0.0,0.0,FPKM
Strain 97,b0004,0.0,5.981438795497356,FPKM
Strain 97,b1192,0.0,0.0,FPKM
Strain 97,b1243,0.0,0.0,FPKM
Strain 97,b4266,0.0,0.0,FPKM
Strain 97,b1091,0.0,2.4092475416610694e-05,FPKM
Strain 97,b4265,0.0,0.0,FPKM
Strain 97,b3957,0.0,0.0,FPKM
Strain 97,b3201,0.0,0.0,FPKM
Strain 97,b4262,0.0,0.0,FPKM
Strain 97,b3199,0.0,0.0,FPKM
Strain 97,b3200,0.0,0.0,FPKM
Strain 97,b4261,0.0,0.0,FPKM
Strain 97,b1519,0.0,0.0,FPKM
Strain 97,b1276,0.0,20.980075440223175,FPKM
Strain 97,b0118,0.0,0.0,FPKM
Strain 97,b1748,0.0,0.0,FPKM
Strain 97,b3359,0.0,4.414478994909644,FPKM
Strain 97,b1090,0.0,0.0,FPKM
Strain 97,b1107,0.0,0.0,FPKM
Strain 97,b0433,0.0,0.0,FPKM
Strain 97,b3619,0.0,0.0,FPKM
Strain 97,b2937,0.0,0.0,FPKM
Strain 97,b2563,0.0,0.0,FPKM
Strain 97,b3475,0.0,0.0,FPKM
Strain 97,b3018,0.0,0.0,FPKM
Strain 97,b2578,0.0,0.0,FPKM
Strain 97,b1533,0.0,0.0,FPKM
Strain 97,b3958,0.0,3.4014348757541555,FPKM
Strain 97,b4067,0.0,0.0,FPKM
Strain 97,b1623,0.0,0.0,FPKM
Strain 97,b1096,0.0,0.007199107095184053,FPKM
Strain 97,b0572,0.0,0.0,FPKM
Strain 97,b0573,0.0,0.0,FPKM
Strain 97,b0574,0.0,0.0,FPKM
Strain 97,b0575,0.0,0.0,FPKM
Strain 97,b3360,0.0,0.007546246402457263,FPKM
Strain 97,b1812,0.0,0.0,FPKM
Strain 97,b4006,0.0,9.022468982431718,FPKM
Strain 97,b3416,0.0,0.0,FPKM
Strain 97,b0522,0.0,8.39031892707825,FPKM
Strain 97,b0523,0.0,7.398640201149219,FPKM
Strain 97,b0116,0.0,107.2668625346808,FPKM
Strain 97,b0727,0.0,0.0,FPKM
Strain 97,b0726,0.0,0.0,FPKM
Strain 97,b2587,0.0,0.0,FPKM
Strain 97,b1488,0.0,0.0,FPKM
Strain 97,b3542,0.0,0.0,FPKM
Strain 97,b1487,0.0,0.0,FPKM
Strain 97,b3541,0.0,0.0,FPKM
Strain 97,b1484,0.0,0.0,FPKM
Strain 97,b1486,0.0,0.0,FPKM
Strain 97,b1485,0.0,0.0,FPKM
Strain 97,b3543,0.0,0.0,FPKM
Strain 97,b3544,0.0,0.0,FPKM
Strain 97,b1483,0.0,0.0,FPKM
Strain 97,b3540,0.0,0.0,FPKM
Strain 97,b3665,0.0,0.0,FPKM
Strain 97,b3714,0.0,0.0,FPKM
Strain 97,b3654,0.0,0.0,FPKM
Strain 97,b0474,0.0,0.0,FPKM
Strain 97,b0120,0.0,0.0,FPKM
Strain 97,b3806,0.0,0.0,FPKM
Strain 97,b0381,0.0,0.29350295137051813,FPKM
Strain 97,b0092,0.0,0.284335339780541,FPKM
Strain 97,b1325,0.0,0.0,FPKM
Strain 97,b4053,0.0,0.4282174032556751,FPKM
Strain 97,b1190,0.0,0.494342922304575,FPKM
Strain 97,b0030,0.0,0.0,FPKM
