Line Name,Measurement Type,Time,Value,Units
WT,b2215,0.0,0.0,FPKM
WT,b0241,0.0,0.0,FPKM
WT,b1377,0.0,0.0,FPKM
WT,b0929,0.0,0.0,FPKM
WT,b4033,0.0,0.0,FPKM
WT,b4032,0.0,0.0,FPKM
WT,b4034,0.0,0.0,FPKM
WT,b4035,0.0,0.0,FPKM
WT,b4036,0.0,0.0,FPKM
WT,b4213,0.0,0.0,FPKM
WT,b2835,0.0,0.0,FPKM
WT,b2836,0.0,0.0,FPKM
WT,b3553,0.0,0.0,FPKM
WT,b1134,0.0,0.0,FPKM
WT,b0446,0.0,0.0,FPKM
WT,b1009,0.0,0.0,FPKM
WT,b0954,0.0,0.0,FPKM
WT,b0180,0.0,2.5416177770106444e-05,FPKM
WT,b0159,0.0,0.0,FPKM
WT,b2708,0.0,0.44574217259183835,FPKM
WT,b3197,0.0,0.4140884541525353,FPKM
WT,b1094,0.0,0.4384534765356836,FPKM
WT,b4481,0.0,0.0,FPKM
WT,b1927,0.0,0.0,FPKM
WT,b3571,0.0,0.0,FPKM
WT,b2901,0.0,0.0,FPKM
WT,b1302,0.0,0.0,FPKM
WT,b2662,0.0,0.0,FPKM
WT,b1444,0.0,0.0,FPKM
WT,b0347,0.0,0.0,FPKM
WT,b2663,0.0,0.0,FPKM
WT,b2222,0.0,0.0,FPKM
WT,b2221,0.0,0.0,FPKM
WT,b3845,0.0,0.0,FPKM
WT,b2342,0.0,0.0,FPKM
WT,b2224,0.0,3.5932792231544965,FPKM
WT,b3580,0.0,0.0,FPKM
WT,b1093,0.0,2.1432507337819617e-05,FPKM
WT,b2223,0.0,0.0,FPKM
WT,b1241,0.0,0.0,FPKM
WT,b0351,0.0,16.563095754225426,FPKM
WT,b1463,0.0,0.0,FPKM
WT,b1993,0.0,0.0,FPKM
WT,b0185,0.0,0.8430652010488248,FPKM
WT,b3256,0.0,0.7457999716239957,FPKM
WT,b2316,0.0,0.8844914922621221,FPKM
WT,b3255,0.0,0.8451163377767466,FPKM
WT,b4069,0.0,0.0,FPKM
WT,b2323,0.0,2.3703069632077505e-05,FPKM
WT,b1095,0.0,0.0,FPKM
WT,b1119,0.0,0.0,FPKM
WT,b3784,0.0,0.0,FPKM
WT,b2415,0.0,0.0,FPKM
WT,b2416,0.0,0.0,FPKM
WT,b2417,0.0,0.0,FPKM
WT,b1101,0.0,183.60060714383727,FPKM
WT,b0679,0.0,0.0,FPKM
WT,b3959,0.0,3.122779195018163,FPKM
WT,b2818,0.0,3.4635266127979087,FPKM
WT,b0077,0.0,10.259119672857421,FPKM
WT,b0078,0.0,9.820590108981055,FPKM
WT,b3671,0.0,10.415186266902534,FPKM
WT,b3670,0.0,9.730094218285696,FPKM
WT,b1849,0.0,0.0,FPKM
WT,b2296,0.0,18.87835427713771,FPKM
WT,b3115,0.0,0.0,FPKM
WT,b2428,0.0,0.0,FPKM
WT,b3794,0.0,0.0,FPKM
WT,b1819,0.0,0.0,FPKM
WT,b1817,0.0,0.0,FPKM
WT,b1818,0.0,0.0,FPKM
WT,b2429,0.0,0.0,FPKM
WT,b1397,0.0,0.0,FPKM
WT,b3224,0.0,0.0,FPKM
WT,b1329,0.0,0.0,FPKM
WT,b1246,0.0,0.0,FPKM
WT,b1245,0.0,0.0,FPKM
WT,b1247,0.0,0.0,FPKM
WT,b1244,0.0,0.0,FPKM
WT,b1386,0.0,0.0,FPKM
WT,b4311,0.0,0.0,FPKM
WT,b3225,0.0,0.0,FPKM
WT,b0221,0.0,0.0,FPKM
WT,b0004,0.0,5.8431116793921065,FPKM
WT,b1192,0.0,0.0,FPKM
WT,b1243,0.0,0.0,FPKM
WT,b4266,0.0,0.0,FPKM
WT,b1091,0.0,2.3343537766818967e-05,FPKM
WT,b4265,0.0,0.0,FPKM
WT,b3957,0.0,0.0,FPKM
WT,b4261,0.0,0.0,FPKM
WT,b3199,0.0,0.0,FPKM
WT,b3201,0.0,0.0,FPKM
WT,b4262,0.0,0.0,FPKM
WT,b3200,0.0,0.0,FPKM
WT,b1519,0.0,0.0,FPKM
WT,b0118,0.0,0.0,FPKM
WT,b1276,0.0,19.6246195385567,FPKM
WT,b3359,0.0,3.6236398348483467,FPKM
WT,b1748,0.0,0.0,FPKM
WT,b1090,0.0,0.0,FPKM
WT,b1107,0.0,0.0,FPKM
WT,b0433,0.0,0.0,FPKM
WT,b3619,0.0,0.0,FPKM
WT,b2937,0.0,0.0,FPKM
WT,b3475,0.0,0.0,FPKM
WT,b2563,0.0,0.0,FPKM
WT,b3018,0.0,0.0,FPKM
WT,b1533,0.0,0.0,FPKM
WT,b2578,0.0,0.0,FPKM
WT,b3958,0.0,3.025629918861321,FPKM
WT,b4067,0.0,0.0,FPKM
WT,b1623,0.0,0.0,FPKM
WT,b1096,0.0,0.007644521951208324,FPKM
WT,b0574,0.0,0.0,FPKM
WT,b0572,0.0,0.0,FPKM
WT,b0575,0.0,0.0,FPKM
WT,b0573,0.0,0.0,FPKM
WT,b3360,0.0,0.00783323522397938,FPKM
WT,b1812,0.0,0.0,FPKM
WT,b4006,0.0,9.870342088530919,FPKM
WT,b3416,0.0,0.0,FPKM
WT,b0522,0.0,8.901122899419196,FPKM
WT,b0523,0.0,8.593904390486532,FPKM
WT,b0727,0.0,0.0,FPKM
WT,b0116,0.0,106.8586109526347,FPKM
WT,b0726,0.0,0.0,FPKM
WT,b2587,0.0,0.0,FPKM
WT,b1488,0.0,0.0,FPKM
WT,b1484,0.0,0.0,FPKM
WT,b3541,0.0,0.0,FPKM
WT,b1486,0.0,0.0,FPKM
WT,b1485,0.0,0.0,FPKM
WT,b3543,0.0,0.0,FPKM
WT,b3544,0.0,0.0,FPKM
WT,b1483,0.0,0.0,FPKM
WT,b3540,0.0,0.0,FPKM
WT,b3542,0.0,0.0,FPKM
WT,b1487,0.0,0.0,FPKM
WT,b3665,0.0,0.0,FPKM
WT,b3714,0.0,0.0,FPKM
WT,b3654,0.0,0.0,FPKM
WT,b0474,0.0,0.0,FPKM
WT,b0120,0.0,0.0,FPKM
WT,b3806,0.0,0.0,FPKM
WT,b0092,0.0,0.30270745760178336,FPKM
WT,b0381,0.0,0.3006196870645992,FPKM
WT,b1325,0.0,0.0,FPKM
WT,b1190,0.0,0.44188226975584866,FPKM
WT,b4053,0.0,0.5234128446535595,FPKM
