Line Name,Measurement Type,Time,Value,Units
WT,b0180,0.0,1.9938129557783082e-05,FPKM
WT,b2708,0.0,0.4669716393308,FPKM
WT,b3197,0.0,0.3988876776719971,FPKM
WT,b1094,0.0,0.4423887892217851,FPKM
WT,b2224,0.0,3.7987443322269123,FPKM
WT,b3256,0.0,0.8525906020691951,FPKM
WT,b2316,0.0,0.89629758612337,FPKM
WT,b3255,0.0,0.8583304843024048,FPKM
WT,b0185,0.0,0.9121244226392804,FPKM
WT,b1101,0.0,203.8753910162902,FPKM
WT,b0180,1.0,2.1466457575464512e-05,FPKM
WT,b2708,1.0,0.3888306682983064,FPKM
WT,b3197,1.0,0.45200846792466814,FPKM
WT,b1094,1.0,0.4175093963619643,FPKM
WT,b2224,1.0,3.87378634291251,FPKM
WT,b3256,1.0,0.9449897613900704,FPKM
WT,b2316,1.0,0.9340775612723713,FPKM
WT,b3255,1.0,0.7618035139646928,FPKM
WT,b0185,1.0,0.8170411141912276,FPKM
WT,b1101,1.0,205.08787283302792,FPKM
WT,b0180,2.0,2.071120397041824e-05,FPKM
WT,b2708,2.0,0.4581324667846432,FPKM
WT,b3197,2.0,0.42001004876336545,FPKM
WT,b1094,2.0,0.49354284080727323,FPKM
WT,b2224,2.0,4.109377754570648,FPKM
WT,b3256,2.0,0.8499798068546787,FPKM
WT,b2316,2.0,0.818906755882218,FPKM
WT,b3255,2.0,0.9017438394903785,FPKM
WT,b0185,2.0,0.9606742520883484,FPKM
WT,b1101,2.0,207.4273472364551,FPKM
WT,b0180,3.0,2.1462630928551346e-05,FPKM
WT,b2708,3.0,0.4244124905834272,FPKM
WT,b3197,3.0,0.44432187807048096,FPKM
WT,b1094,3.0,0.4559746428175859,FPKM
WT,b2224,3.0,4.2115750491358375,FPKM
WT,b3256,3.0,0.8538354169217758,FPKM
WT,b2316,3.0,0.799119053369521,FPKM
WT,b3255,3.0,0.7578849522303076,FPKM
WT,b0185,3.0,0.9451252470572369,FPKM
WT,b1101,3.0,197.52704973466686,FPKM
WT,b0180,4.0,2.4183519012054517e-05,FPKM
WT,b2708,4.0,0.3860203206846052,FPKM
WT,b3197,4.0,0.41524948234500303,FPKM
WT,b1094,4.0,0.4369710253650524,FPKM
WT,b2224,4.0,3.66390608527208,FPKM
WT,b3256,4.0,0.9306679442526521,FPKM
WT,b2316,4.0,0.9480118513337829,FPKM
WT,b3255,4.0,0.7142020849186537,FPKM
WT,b0185,4.0,0.8984036475920663,FPKM
WT,b1101,4.0,182.0181824980552,FPKM
WT,b0180,5.0,2.1998921348018124e-05,FPKM
WT,b2708,5.0,0.42856394018996224,FPKM
WT,b3197,5.0,0.44344634159866764,FPKM
WT,b1094,5.0,0.4998865101884295,FPKM
WT,b2224,5.0,3.5199525174895037,FPKM
WT,b3256,5.0,0.843722488691562,FPKM
WT,b2316,5.0,0.9142461657723424,FPKM
WT,b3255,5.0,0.8182630096093364,FPKM
WT,b0185,5.0,0.9250175765991367,FPKM
WT,b1101,5.0,182.33569688552583,FPKM
WT,b0180,6.0,2.1544227951458117e-05,FPKM
WT,b2708,6.0,0.4548665000198454,FPKM
WT,b3197,6.0,0.445293367499939,FPKM
WT,b1094,6.0,0.42657529495209306,FPKM
WT,b2224,6.0,4.293646083581806,FPKM
WT,b3256,6.0,0.7490118863718341,FPKM
WT,b2316,6.0,0.7715873257938396,FPKM
WT,b3255,6.0,0.8612351949190062,FPKM
WT,b0185,6.0,0.8221247861547836,FPKM
WT,b1101,6.0,220.3641023554272,FPKM
WT,b0180,7.0,2.131074012688058e-05,FPKM
WT,b2708,7.0,0.39413422590919245,FPKM
WT,b3197,7.0,0.47563228461608587,FPKM
WT,b1094,7.0,0.4358710756881362,FPKM
WT,b2224,7.0,4.0225030095411025,FPKM
WT,b3256,7.0,0.9539882447800119,FPKM
WT,b2316,7.0,0.8514602584961863,FPKM
WT,b3255,7.0,0.7662485561354073,FPKM
WT,b0185,7.0,0.862342889738338,FPKM
WT,b1101,7.0,214.52913839333104,FPKM
WT,b0180,8.0,2.133715430897581e-05,FPKM
WT,b2708,8.0,0.4427662715452084,FPKM
WT,b3197,8.0,0.4516106534120755,FPKM
WT,b1094,8.0,0.46545314064486637,FPKM
WT,b2224,8.0,3.5923700221699764,FPKM
WT,b3256,8.0,0.8966465146215756,FPKM
WT,b2316,8.0,0.8089102530005725,FPKM
WT,b3255,8.0,0.8766127525278369,FPKM
WT,b0185,8.0,0.8381765717055097,FPKM
WT,b1101,8.0,214.05743135371893,FPKM
