Line Name,Measurement Type,Concentration,Units,Time,Value
WT,Optical Density,0.75,g/L,0.0,0.01
WT,Optical Density,0.75,g/L,1.0,0.017097741076809926
WT,Optical Density,0.75,g/L,2.0,0.029233274992963344
WT,Optical Density,0.75,g/L,3.0,0.04998229666568697
WT,Optical Density,0.75,g/L,4.0,0.08545843668142158
WT,Optical Density,0.75,g/L,5.0,0.14611462232079017
WT,Optical Density,0.75,g/L,6.0,0.24982299799767424
WT,Optical Density,0.75,g/L,7.0,0.42714089347966383
WT,Optical Density,0.75,g/L,8.0,0.7303144400032541
WT,Optical Density,0.75,g/L,9.0,1.2486727199831074
