Line Name,Measurement Type,Time,Value,Units
WT,EX_cm_e,0.0,0.0,mmol/gdwh
WT,EX_cmp_e,0.0,0.0,mmol/gdwh
WT,EX_co2_e,0.0,9.495591490233586,mmol/gdwh
WT,EX_cobalt2_e,0.0,-1.3409031525428593e-05,mmol/gdwh
WT,DM_4crsol_c,0.0,0.00011960856120682304,mmol/gdwh
WT,DM_5drib_c,0.0,0.00012068128372887121,mmol/gdwh
WT,DM_aacald_c,0.0,-0.0,mmol/gdwh
WT,DM_amob_c,0.0,1.0727225220342873e-06,mmol/gdwh
WT,DM_mththf_c,0.0,0.0002402898449420654,mmol/gdwh
WT,EX_colipa_e,0.0,-0.0,mmol/gdwh
WT,DM_oxam_c,0.0,-0.0,mmol/gdwh
WT,EX_glc__D_e,0.0,-10.0,mmol/gdwh
WT,EX_glcn_e,0.0,0.0,mmol/gdwh
WT,BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0,mmol/gdwh
WT,EX_glcr_e,0.0,0.0,mmol/gdwh
WT,EX_colipap_e,0.0,-0.0,mmol/gdwh
WT,EX_glcur_e,0.0,0.0,mmol/gdwh
WT,EX_glcur1p_e,0.0,0.0,mmol/gdwh
WT,BIOMASS_Ec_iJO1366_core_53p95M,0.0,0.5363612610171437,mmol/gdwh
WT,EX_12ppd__R_e,0.0,0.0,mmol/gdwh
WT,EX_gln__L_e,0.0,0.0,mmol/gdwh
WT,EX_cpgn_e,0.0,0.0,mmol/gdwh
WT,EX_glu__L_e,0.0,0.0,mmol/gdwh
WT,EX_gly_e,0.0,0.0,mmol/gdwh
WT,EX_glyald_e,0.0,0.0,mmol/gdwh
WT,EX_glyb_e,0.0,0.0,mmol/gdwh
WT,EX_glyc_e,0.0,0.0,mmol/gdwh
WT,EX_12ppd__S_e,0.0,-0.0,mmol/gdwh
WT,EX_14glucan_e,0.0,0.0,mmol/gdwh
WT,EX_cpgn_un_e,0.0,0.0,mmol/gdwh
WT,EX_15dap_e,0.0,0.0,mmol/gdwh
WT,EX_glyc__R_e,0.0,0.0,mmol/gdwh
WT,EX_glyc2p_e,0.0,0.0,mmol/gdwh
WT,EX_23camp_e,0.0,0.0,mmol/gdwh
WT,EX_23ccmp_e,0.0,0.0,mmol/gdwh
WT,EX_23cgmp_e,0.0,0.0,mmol/gdwh
WT,EX_23cump_e,0.0,0.0,mmol/gdwh
WT,EX_23dappa_e,0.0,0.0,mmol/gdwh
WT,EX_26dap__M_e,0.0,0.0,mmol/gdwh
WT,EX_glyc3p_e,0.0,0.0,mmol/gdwh
WT,EX_glyclt_e,0.0,0.0,mmol/gdwh
WT,EX_gmp_e,0.0,0.0,mmol/gdwh
WT,EX_gsn_e,0.0,0.0,mmol/gdwh
WT,EX_gthox_e,0.0,-0.0,mmol/gdwh
WT,EX_gthrd_e,0.0,0.0,mmol/gdwh
WT,EX_gtp_e,0.0,0.0,mmol/gdwh
WT,EX_gua_e,0.0,0.0,mmol/gdwh
WT,EX_h_e,0.0,14.85192665623204,mmol/gdwh
WT,EX_h2_e,0.0,-0.0,mmol/gdwh
WT,EX_h2o_e,0.0,23.65867185807578,mmol/gdwh
WT,EX_h2o2_e,0.0,0.0,mmol/gdwh
WT,EX_h2s_e,0.0,0.0,mmol/gdwh
WT,EX_hacolipa_e,0.0,0.0,mmol/gdwh
WT,EX_halipa_e,0.0,-0.0,mmol/gdwh
WT,EX_hdca_e,0.0,0.0,mmol/gdwh
WT,EX_hdcea_e,0.0,0.0,mmol/gdwh
WT,EX_hg2_e,0.0,0.0,mmol/gdwh
WT,EX_his__L_e,0.0,0.0,mmol/gdwh
WT,EX_2ddglcn_e,0.0,0.0,mmol/gdwh
WT,EX_34dhpac_e,0.0,-0.0,mmol/gdwh
WT,EX_3amp_e,0.0,0.0,mmol/gdwh
WT,EX_3cmp_e,0.0,0.0,mmol/gdwh
WT,EX_3gmp_e,0.0,0.0,mmol/gdwh
WT,EX_3hcinnm_e,0.0,0.0,mmol/gdwh
WT,EX_3hpp_e,0.0,-0.0,mmol/gdwh
WT,EX_3hpppn_e,0.0,0.0,mmol/gdwh
WT,EX_hom__L_e,0.0,-0.0,mmol/gdwh
WT,EX_hxa_e,0.0,-0.0,mmol/gdwh
WT,EX_hxan_e,0.0,0.0,mmol/gdwh
WT,EX_idon__L_e,0.0,0.0,mmol/gdwh
WT,EX_3ump_e,0.0,0.0,mmol/gdwh
WT,EX_4abut_e,0.0,0.0,mmol/gdwh
WT,EX_4hoxpacd_e,0.0,0.0,mmol/gdwh
WT,EX_5dglcn_e,0.0,0.0,mmol/gdwh
WT,EX_5mtr_e,0.0,-0.0,mmol/gdwh
WT,EX_LalaDglu_e,0.0,0.0,mmol/gdwh
WT,EX_ile__L_e,0.0,0.0,mmol/gdwh
WT,EX_imp_e,0.0,0.0,mmol/gdwh
WT,EX_indole_e,0.0,0.0,mmol/gdwh
WT,EX_inost_e,0.0,-0.0,mmol/gdwh
WT,EX_ins_e,0.0,0.0,mmol/gdwh
WT,EX_isetac_e,0.0,0.0,mmol/gdwh
WT,EX_k_e,0.0,-0.10469396362171933,mmol/gdwh
WT,EX_LalaDgluMdap_e,0.0,0.0,mmol/gdwh
WT,EX_LalaDgluMdapDala_e,0.0,0.0,mmol/gdwh
WT,EX_LalaLglu_e,0.0,0.0,mmol/gdwh
WT,EX_kdo2lipid4_e,0.0,0.0,mmol/gdwh
WT,EX_ac_e,0.0,2.070936704316201,mmol/gdwh
WT,EX_crn_e,0.0,0.0,mmol/gdwh
WT,EX_acac_e,0.0,0.0,mmol/gdwh
WT,EX_acald_e,0.0,0.0,mmol/gdwh
WT,EX_lac__D_e,0.0,7.748590341151804,mmol/gdwh
WT,EX_lac__L_e,0.0,-0.0,mmol/gdwh
WT,EX_crn__D_e,0.0,0.0,mmol/gdwh
WT,EX_lcts_e,0.0,0.0,mmol/gdwh
WT,EX_acgal_e,0.0,-0.0,mmol/gdwh
WT,EX_acgal1p_e,0.0,0.0,mmol/gdwh
WT,EX_acgam_e,0.0,0.0,mmol/gdwh
WT,EX_leu__L_e,0.0,0.0,mmol/gdwh
WT,EX_csn_e,0.0,0.0,mmol/gdwh
WT,EX_acgam1p_e,0.0,0.0,mmol/gdwh
WT,EX_acmana_e,0.0,0.0,mmol/gdwh
WT,EX_acmum_e,0.0,0.0,mmol/gdwh
WT,EX_lipa_e,0.0,-0.0,mmol/gdwh
