Line Name,Measurement Type,Time,Value,Units
WT,P02932,0.0,0.0,proteins/cell
WT,P77747,0.0,0.0,proteins/cell
WT,P02931,0.0,0.0,proteins/cell
WT,P06996,0.0,0.0,proteins/cell
WT,P02916,0.0,0.0,proteins/cell
WT,P0AEX9,0.0,0.0,proteins/cell
WT,P68183,0.0,0.0,proteins/cell
WT,P68187,0.0,0.0,proteins/cell
WT,P02943,0.0,0.0,proteins/cell
WT,P08331,0.0,0.0,proteins/cell
WT,P39196,0.0,0.0,proteins/cell
WT,P31119,0.0,0.0,proteins/cell
WT,P37666,0.0,0.0,proteins/cell
WT,P0AEI6,0.0,0.0,proteins/cell
WT,P46891,0.0,0.0,proteins/cell
WT,P75895,0.0,0.0,proteins/cell
WT,P0A6Q6,0.0,1.219274060459706e-06,proteins/cell
WT,P0A6Q3,0.0,0.0,proteins/cell
WT,P0AF12,0.0,0.0,proteins/cell
WT,P17115,0.0,0.027177253894863845,proteins/cell
WT,P45395,0.0,0.026123568134464082,proteins/cell
WT,P0A6A8,0.0,0.02582520106627052,proteins/cell
WT,P56258,0.0,0.0,proteins/cell
WT,P26612,0.0,0.0,proteins/cell
WT,P25718,0.0,0.0,proteins/cell
WT,Q46829,0.0,0.0,proteins/cell
WT,P22256,0.0,0.0,proteins/cell
WT,P50457,0.0,0.0,proteins/cell
WT,P77674,0.0,0.0,proteins/cell
WT,P77397,0.0,0.0,proteins/cell
WT,P25527,0.0,0.0,proteins/cell
WT,P76458,0.0,0.0,proteins/cell
WT,P76459,0.0,0.0,proteins/cell
WT,P76503,0.0,0.0,proteins/cell
WT,P76461,0.0,0.25230448113392356,proteins/cell
WT,P21151,0.0,0.0,proteins/cell
WT,P37677,0.0,0.0,proteins/cell
WT,P0AEK2,0.0,1.3326334195012374e-06,proteins/cell
WT,P76460,0.0,0.0,proteins/cell
WT,P0A9Q7,0.0,0.0,proteins/cell
WT,P77580,0.0,-0.944831992753922,proteins/cell
WT,P77567,0.0,0.0,proteins/cell
WT,P0AE76,0.0,0.0,proteins/cell
WT,P24182,0.0,0.04955997819149219,proteins/cell
WT,P0A9Q5,0.0,0.05318617130378937,proteins/cell
WT,P0ABD8,0.0,0.05099028530694206,proteins/cell
WT,P0ABD5,0.0,0.049352206976287755,proteins/cell
WT,P27550,0.0,0.0,proteins/cell
WT,P0AAI5,0.0,0.0,proteins/cell
WT,P0A953,0.0,1.3688380511063983e-06,proteins/cell
WT,P75959,0.0,0.0,proteins/cell
WT,P0AC78,0.0,0.0,proteins/cell
WT,P69783,0.0,0.0,proteins/cell
WT,P08839,0.0,0.0,proteins/cell
WT,P0AA04,0.0,0.0,proteins/cell
WT,P69786,0.0,12.880959331541867,proteins/cell
WT,P09323,0.0,0.0,proteins/cell
WT,P0A6C8,0.0,0.1909749089424093,proteins/cell
WT,P0A6C5,0.0,0.2088984876708958,proteins/cell
WT,P00894,0.0,0.5817110457203168,proteins/cell
WT,P08142,0.0,0.628109421335253,proteins/cell
WT,P00893,0.0,0.6131286355986624,proteins/cell
WT,P0ADF8,0.0,0.6105173035184867,proteins/cell
WT,P33221,0.0,0.0,proteins/cell
WT,P0A6A3,0.0,-1.204803468428298,proteins/cell
WT,P11868,0.0,0.0,proteins/cell
WT,P76535,0.0,0.0,proteins/cell
WT,P27836,0.0,0.0,proteins/cell
WT,P69805,0.0,0.0,proteins/cell
WT,P69797,0.0,0.0,proteins/cell
WT,P69801,0.0,0.0,proteins/cell
WT,P77272,0.0,0.0,proteins/cell
WT,P0C7L2,0.0,0.0,proteins/cell
WT,P41036,0.0,0.0,proteins/cell
WT,P0AFH6,0.0,0.0,proteins/cell
WT,P77737,0.0,0.0,proteins/cell
WT,P77348,0.0,0.0,proteins/cell
WT,P0AFH2,0.0,0.0,proteins/cell
WT,P76027,0.0,0.0,proteins/cell
WT,P46883,0.0,0.0,proteins/cell
WT,P69856,0.0,0.0,proteins/cell
WT,P0A6L4,0.0,0.0,proteins/cell
WT,Q47146,0.0,0.0,proteins/cell
WT,P00934,0.0,0.3268735935870256,proteins/cell
WT,P76008,0.0,0.0,proteins/cell
WT,P23843,0.0,0.0,proteins/cell
WT,P0A9P9,0.0,0.0,proteins/cell
WT,P0A6R0,0.0,1.3715841726383798e-06,proteins/cell
WT,P39344,0.0,0.0,proteins/cell
WT,P23908,0.0,0.0,proteins/cell
