Line Name,Measurement Type,Time,Value,Units
WT,b0241,0.0,0.0,FPKM
WT,b1377,0.0,0.0,FPKM
WT,b0929,0.0,0.0,FPKM
WT,b2215,0.0,0.0,FPKM
WT,b4033,0.0,0.0,FPKM
WT,b4034,0.0,0.0,FPKM
WT,b4032,0.0,0.0,FPKM
WT,b4035,0.0,0.0,FPKM
WT,b4036,0.0,0.0,FPKM
WT,b4213,0.0,0.0,FPKM
WT,b2835,0.0,0.0,FPKM
WT,b2836,0.0,0.0,FPKM
WT,b3553,0.0,0.0,FPKM
WT,b1134,0.0,0.0,FPKM
WT,b0446,0.0,0.0,FPKM
WT,b1009,0.0,0.0,FPKM
WT,b0180,0.0,1.9087414238992092e-05,FPKM
WT,b0954,0.0,0.0,FPKM
WT,b0159,0.0,0.0,FPKM
WT,b2708,0.0,0.4611439451258132,FPKM
WT,b3197,0.0,0.44607280822774975,FPKM
WT,b1094,0.0,0.44551978061345177,FPKM
WT,b4481,0.0,0.0,FPKM
WT,b1927,0.0,0.0,FPKM
WT,b3571,0.0,0.0,FPKM
WT,b2901,0.0,0.0,FPKM
WT,b2662,0.0,0.0,FPKM
WT,b1302,0.0,0.0,FPKM
WT,b1444,0.0,0.0,FPKM
WT,b0347,0.0,0.0,FPKM
WT,b2663,0.0,0.0,FPKM
WT,b2221,0.0,0.0,FPKM
WT,b2222,0.0,0.0,FPKM
WT,b2342,0.0,0.0,FPKM
WT,b2224,0.0,4.023346768913582,FPKM
WT,b3845,0.0,0.0,FPKM
WT,b3580,0.0,0.0,FPKM
WT,b1093,0.0,2.1022527798949785e-05,FPKM
WT,b2223,0.0,0.0,FPKM
WT,b1241,0.0,0.0,FPKM
WT,b0351,0.0,-15.864770613217733,FPKM
WT,b1463,0.0,0.0,FPKM
WT,b1993,0.0,0.0,FPKM
WT,b3256,0.0,0.8390618702922953,FPKM
WT,b2316,0.0,0.9086347951928948,FPKM
WT,b3255,0.0,0.8154706380584159,FPKM
WT,b0185,0.0,0.7911980949827799,FPKM
WT,b4069,0.0,0.0,FPKM
WT,b1095,0.0,0.0,FPKM
WT,b2323,0.0,2.1732444083454693e-05,FPKM
WT,b1119,0.0,0.0,FPKM
WT,b3784,0.0,0.0,FPKM
WT,b2417,0.0,0.0,FPKM
WT,b2416,0.0,0.0,FPKM
WT,b2415,0.0,0.0,FPKM
WT,b1101,0.0,218.7153561731347,FPKM
WT,b0679,0.0,0.0,FPKM
WT,b3959,0.0,3.145924814105868,FPKM
WT,b2818,0.0,3.4723977236379766,FPKM
WT,b0078,0.0,8.792847723306233,FPKM
WT,b3671,0.0,10.663606357419665,FPKM
WT,b0077,0.0,9.915525335690221,FPKM
WT,b3670,0.0,9.421023136061418,FPKM
WT,b1849,0.0,0.0,FPKM
WT,b2296,0.0,-20.22978382737452,FPKM
WT,b3115,0.0,0.0,FPKM
WT,b2428,0.0,0.0,FPKM
WT,b3794,0.0,0.0,FPKM
