Line Name,Measurement Type,Time,Value,Units
Strain 97,CID:5793,0.0,22.070750368028232,mM
Strain 97,CID:5793,1.0,21.84488978346744,mM
Strain 97,CID:5793,2.0,21.459157113383096,mM
Strain 97,CID:5793,3.0,20.800389258603413,mM
Strain 97,CID:5793,4.0,19.675322288268408,mM
Strain 97,CID:5793,5.0,17.753893246831456,mM
Strain 97,CID:5793,6.0,14.47240898089682,mM
Strain 97,CID:5793,7.0,8.868174447456552,mM
Strain 97,CID:5793,8.0,0.0,mM
Strain 97,CID:5793,9.0,0.0,mM
Strain 97,CID:12988,0.0,0.003306240799293897,mM
Strain 97,CID:12988,1.0,0.008952755413313161,mM
Strain 97,CID:12988,2.0,0.01859607216542495,mM
Strain 97,CID:12988,3.0,0.03506526853492242,mM
Strain 97,CID:12988,4.0,0.06319194279330216,mM
Strain 97,CID:12988,5.0,0.11122766882922575,mM
Strain 97,CID:12988,6.0,0.19326477547778756,mM
Strain 97,CID:12988,7.0,0.3333706388141288,mM
Strain 97,CID:12988,8.0,0.5726483723074962,mM
Strain 97,CID:12988,9.0,0.5726483723074962,mM
Strain 97,CID:175,0.0,0.028783098921710968,mM
Strain 97,CID:175,1.0,0.07793989014300158,mM
Strain 97,CID:175,2.0,0.16189159144334525,mM
Strain 97,CID:175,3.0,0.30526726703400514,mM
Strain 97,CID:175,4.0,0.5501293011878314,mM
Strain 97,CID:175,5.0,0.9683133168721544,mM
Strain 97,CID:175,6.0,1.6825027238915307,mM
Strain 97,CID:175,7.0,2.902220575287421,mM
Strain 97,CID:175,8.0,4.985297728759463,mM
Strain 97,CID:175,9.0,4.985297728759463,mM
Strain 97,CID:283,0.0,0.0013224963197176762,mM
Strain 97,CID:283,1.0,0.0035811021653255823,mM
Strain 97,CID:283,2.0,0.007438428866169024,mM
Strain 97,CID:283,3.0,0.014026107413965837,mM
Strain 97,CID:283,4.0,0.025276777117315605,mM
Strain 97,CID:283,5.0,0.04449106753168511,mM
Strain 97,CID:283,6.0,0.07730591019103147,mM
Strain 97,CID:283,7.0,0.13334825552543417,mM
Strain 97,CID:283,8.0,0.22905934892255259,mM
Strain 97,CID:283,9.0,0.22905934892255259,mM
Strain 97,CID:612,0.0,0.10021788299919285,mM
Strain 97,CID:612,1.0,0.27137351723547376,mM
Strain 97,CID:612,2.0,0.5636791442767081,mM
Strain 97,CID:612,3.0,1.062889000739937,mM
Strain 97,CID:612,4.0,1.9154571955864825,mM
Strain 97,CID:612,5.0,3.371503220025226,mM
Strain 97,CID:612,6.0,5.858189960275293,mM
Strain 97,CID:612,7.0,10.105041255046984,mM
Strain 97,CID:612,8.0,17.357963638865325,mM
Strain 97,CID:612,9.0,17.357963638865325,mM
Strain 97,CID:702,0.0,0.0,mM
Strain 97,CID:702,1.0,0.0,mM
Strain 97,CID:702,2.0,0.0,mM
Strain 97,CID:702,3.0,0.0,mM
Strain 97,CID:702,4.0,0.0,mM
Strain 97,CID:702,5.0,0.0,mM
Strain 97,CID:702,6.0,0.0,mM
Strain 97,CID:702,7.0,0.0,mM
Strain 97,CID:702,8.0,0.0,mM
Strain 97,CID:702,9.0,0.0,mM
