Line Name,Measurement Type,Time,Value,Units
Strain 97,P06996,0.0,0.0,proteins/cell
Strain 97,P77747,0.0,0.0,proteins/cell
Strain 97,P02931,0.0,0.0,proteins/cell
Strain 97,P02932,0.0,0.0,proteins/cell
Strain 97,P68183,0.0,0.0,proteins/cell
Strain 97,P68187,0.0,0.0,proteins/cell
Strain 97,P02916,0.0,0.0,proteins/cell
Strain 97,P0AEX9,0.0,0.0,proteins/cell
Strain 97,P02943,0.0,0.0,proteins/cell
Strain 97,P08331,0.0,0.0,proteins/cell
Strain 97,P39196,0.0,0.0,proteins/cell
Strain 97,P31119,0.0,0.0,proteins/cell
Strain 97,P37666,0.0,0.0,proteins/cell
Strain 97,P0AEI6,0.0,0.0,proteins/cell
Strain 97,P46891,0.0,0.0,proteins/cell
Strain 97,P75895,0.0,0.0,proteins/cell
Strain 97,P0A6Q6,0.0,1.3959022217868571e-06,proteins/cell
Strain 97,P0A6Q3,0.0,0.0,proteins/cell
Strain 97,P0AF12,0.0,0.0,proteins/cell
Strain 97,P17115,0.0,0.02662005552944795,proteins/cell
Strain 97,P45395,0.0,0.027821423871137257,proteins/cell
Strain 97,P0A6A8,0.0,0.027957628071539342,proteins/cell
Strain 97,P56258,0.0,0.0,proteins/cell
Strain 97,P26612,0.0,0.0,proteins/cell
Strain 97,P25718,0.0,0.0,proteins/cell
Strain 97,Q46829,0.0,0.0,proteins/cell
Strain 97,P50457,0.0,0.0,proteins/cell
Strain 97,P22256,0.0,0.0,proteins/cell
Strain 97,P77674,0.0,0.0,proteins/cell
Strain 97,P77397,0.0,0.0,proteins/cell
Strain 97,P25527,0.0,0.0,proteins/cell
Strain 97,P76459,0.0,0.0,proteins/cell
Strain 97,P76458,0.0,0.0,proteins/cell
Strain 97,P21151,0.0,0.0,proteins/cell
Strain 97,P76461,0.0,0.24397908892301953,proteins/cell
Strain 97,P76503,0.0,0.0,proteins/cell
Strain 97,P37677,0.0,0.0,proteins/cell
Strain 97,P0AEK2,0.0,1.400846250636027e-06,proteins/cell
Strain 97,P76460,0.0,0.0,proteins/cell
Strain 97,P0A9Q7,0.0,0.0,proteins/cell
Strain 97,P77580,0.0,1.041462795502823,proteins/cell
Strain 97,P77567,0.0,0.0,proteins/cell
Strain 97,P0AE76,0.0,0.0,proteins/cell
Strain 97,P0ABD5,0.0,0.04984740560320531,proteins/cell
Strain 97,P0ABD8,0.0,0.050743256203257495,proteins/cell
Strain 97,P24182,0.0,0.04774723749968921,proteins/cell
Strain 97,P0A9Q5,0.0,0.05046942620751797,proteins/cell
Strain 97,P27550,0.0,0.0,proteins/cell
Strain 97,P0A953,0.0,1.3226531922627925e-06,proteins/cell
Strain 97,P0AAI5,0.0,0.0,proteins/cell
Strain 97,P75959,0.0,0.0,proteins/cell
Strain 97,P0AC78,0.0,0.0,proteins/cell
Strain 97,P09323,0.0,0.0,proteins/cell
Strain 97,P0AA04,0.0,0.0,proteins/cell
Strain 97,P08839,0.0,0.0,proteins/cell
Strain 97,P69786,0.0,12.497238000100198,proteins/cell
Strain 97,P69783,0.0,0.0,proteins/cell
Strain 97,P0A6C8,0.0,0.19728067979885355,proteins/cell
Strain 97,P0A6C5,0.0,0.19925488001042693,proteins/cell
Strain 97,P00893,0.0,0.5679177993848942,proteins/cell
Strain 97,P00894,0.0,0.626366457563502,proteins/cell
Strain 97,P08142,0.0,0.6321456920473054,proteins/cell
Strain 97,P0ADF8,0.0,0.5701924302039764,proteins/cell
Strain 97,P33221,0.0,0.0,proteins/cell
Strain 97,P0A6A3,0.0,1.2072445708192545,proteins/cell
Strain 97,P11868,0.0,0.0,proteins/cell
Strain 97,P76535,0.0,0.0,proteins/cell
Strain 97,P27836,0.0,0.0,proteins/cell
Strain 97,P69805,0.0,0.0,proteins/cell
Strain 97,P69797,0.0,0.0,proteins/cell
Strain 97,P69801,0.0,0.0,proteins/cell
Strain 97,P77272,0.0,0.0,proteins/cell
Strain 97,P0C7L2,0.0,0.0,proteins/cell
Strain 97,P41036,0.0,0.0,proteins/cell
Strain 97,P0AFH2,0.0,0.0,proteins/cell
Strain 97,P76027,0.0,0.0,proteins/cell
Strain 97,P77737,0.0,0.0,proteins/cell
Strain 97,P0AFH6,0.0,0.0,proteins/cell
Strain 97,P77348,0.0,0.0,proteins/cell
Strain 97,P46883,0.0,0.0,proteins/cell
Strain 97,P69856,0.0,0.0,proteins/cell
Strain 97,P0A6L4,0.0,0.0,proteins/cell
Strain 97,Q47146,0.0,0.0,proteins/cell
Strain 97,P00934,0.0,0.35934676386375924,proteins/cell
Strain 97,P76008,0.0,0.0,proteins/cell
Strain 97,P23843,0.0,0.0,proteins/cell
Strain 97,P0A9P9,0.0,0.0,proteins/cell
Strain 97,P0A6R0,0.0,1.401128909078743e-06,proteins/cell
Strain 97,P39344,0.0,0.0,proteins/cell
Strain 97,P23908,0.0,0.0,proteins/cell
Strain 97,P0AF98,0.0,0.0,proteins/cell
Strain 97,P0ADV9,0.0,0.0,proteins/cell
Strain 97,P0ADC6,0.0,0.0,proteins/cell
Strain 97,P0A9V1,0.0,0.0,proteins/cell
Strain 97,P0ADV1,0.0,0.0,proteins/cell
Strain 97,P76145,0.0,0.0,proteins/cell
Strain 97,P36683,0.0,0.0,proteins/cell
Strain 97,P25516,0.0,1.247174940536275,proteins/cell
Strain 97,P18335,0.0,0.23436003436330938,proteins/cell
Strain 97,P77581,0.0,0.0,proteins/cell
Strain 97,P27247,0.0,0.0,proteins/cell
Strain 97,P75949,0.0,0.0,proteins/cell
Strain 97,P0AE16,0.0,0.0,proteins/cell
Strain 97,P67910,0.0,0.0,proteins/cell
Strain 97,P60651,0.0,0.0,proteins/cell
Strain 97,P24224,0.0,0.0,proteins/cell
Strain 97,P37623,0.0,0.0,proteins/cell
Strain 97,P26647,0.0,0.0,proteins/cell
Strain 97,P31125,0.0,0.0,proteins/cell
Strain 97,P38101,0.0,0.0,proteins/cell
Strain 97,P11446,0.0,0.19379085579659353,proteins/cell
Strain 97,P32705,0.0,0.0,proteins/cell
Strain 97,P22333,0.0,0.0,proteins/cell
