Line Name,Measurement Type,Time,Value,Units
Strain 97,P17115,0.0,0.02662005552944795,proteins/cell
Strain 97,P45395,0.0,0.027821423871137257,proteins/cell
Strain 97,P0A6A8,0.0,0.027957628071539342,proteins/cell
Strain 97,P76461,0.0,0.24397908892301953,proteins/cell
Strain 97,P77580,0.0,1.041462795502823,proteins/cell
Strain 97,P24182,0.0,0.04774723749968921,proteins/cell
Strain 97,P0A9Q5,0.0,0.05046942620751797,proteins/cell
Strain 97,P0ABD5,0.0,0.04984740560320531,proteins/cell
Strain 97,P00893,0.0,0.5679177993848942,proteins/cell
Strain 97,P17115,1.0,0.028457004815789524,proteins/cell
Strain 97,P45395,1.0,0.028729797448097828,proteins/cell
Strain 97,P0A6A8,1.0,0.025053198473281354,proteins/cell
Strain 97,P76461,1.0,0.23117373126582244,proteins/cell
Strain 97,P77580,1.0,1.1824838795976444,proteins/cell
Strain 97,P24182,1.0,0.05620184649310729,proteins/cell
Strain 97,P0A9Q5,1.0,0.052420105456352464,proteins/cell
Strain 97,P0ABD5,1.0,0.052818272184925415,proteins/cell
Strain 97,P00893,1.0,0.543370203738127,proteins/cell
Strain 97,P17115,2.0,0.029602977327106286,proteins/cell
Strain 97,P45395,2.0,0.026391330771111207,proteins/cell
Strain 97,P0A6A8,2.0,0.025825943519845452,proteins/cell
Strain 97,P76461,2.0,0.23078963986316203,proteins/cell
Strain 97,P77580,2.0,0.9491281272020065,proteins/cell
Strain 97,P24182,2.0,0.0528709678211441,proteins/cell
Strain 97,P0A9Q5,2.0,0.05230013549494225,proteins/cell
Strain 97,P0ABD5,2.0,0.05345002806007811,proteins/cell
Strain 97,P00893,2.0,0.60005502238066,proteins/cell
Strain 97,P17115,3.0,0.02526302008610944,proteins/cell
Strain 97,P45395,3.0,0.02514390295635463,proteins/cell
Strain 97,P0A6A8,3.0,0.025511116154413885,proteins/cell
Strain 97,P76461,3.0,0.21619000495102597,proteins/cell
Strain 97,P77580,3.0,1.129120616066001,proteins/cell
Strain 97,P24182,3.0,0.05468726327334122,proteins/cell
Strain 97,P0A9Q5,3.0,0.05016986922821135,proteins/cell
Strain 97,P0ABD5,3.0,0.047939600135406005,proteins/cell
Strain 97,P00893,3.0,0.6027998619071583,proteins/cell
Strain 97,P17115,4.0,0.02606190193313995,proteins/cell
Strain 97,P45395,4.0,0.025869940387888403,proteins/cell
Strain 97,P0A6A8,4.0,0.025142926269163864,proteins/cell
Strain 97,P76461,4.0,0.23627318701537528,proteins/cell
Strain 97,P77580,4.0,1.0123978358964703,proteins/cell
Strain 97,P24182,4.0,0.05462304983912207,proteins/cell
Strain 97,P0A9Q5,4.0,0.050294094234466596,proteins/cell
Strain 97,P0ABD5,4.0,0.05150633098557664,proteins/cell
Strain 97,P00893,4.0,0.5807824089343638,proteins/cell
Strain 97,P17115,5.0,0.026508781007298893,proteins/cell
Strain 97,P45395,5.0,0.027800676845688498,proteins/cell
Strain 97,P0A6A8,5.0,0.025533025905296117,proteins/cell
Strain 97,P76461,5.0,0.22595301095230533,proteins/cell
Strain 97,P77580,5.0,1.2015568553226095,proteins/cell
Strain 97,P24182,5.0,0.05242044862551618,proteins/cell
Strain 97,P0A9Q5,5.0,0.05201242452100781,proteins/cell
Strain 97,P0ABD5,5.0,0.05158320273913771,proteins/cell
Strain 97,P00893,5.0,0.5991729458920244,proteins/cell
Strain 97,P17115,6.0,0.026266931927225498,proteins/cell
Strain 97,P45395,6.0,0.02899426520750109,proteins/cell
Strain 97,P0A6A8,6.0,0.027395580658208817,proteins/cell
Strain 97,P76461,6.0,0.23815522275227557,proteins/cell
Strain 97,P77580,6.0,1.064787115672866,proteins/cell
Strain 97,P24182,6.0,0.05534538017772998,proteins/cell
Strain 97,P0A9Q5,6.0,0.053340198118795736,proteins/cell
Strain 97,P0ABD5,6.0,0.04810404577916636,proteins/cell
Strain 97,P00893,6.0,0.6103575467248273,proteins/cell
Strain 97,P17115,7.0,0.025416146606115398,proteins/cell
Strain 97,P45395,7.0,0.02608303030836794,proteins/cell
Strain 97,P0A6A8,7.0,0.02588848394892849,proteins/cell
Strain 97,P76461,7.0,0.22895701485680223,proteins/cell
Strain 97,P77580,7.0,0.9705931360635872,proteins/cell
Strain 97,P24182,7.0,0.05158837255151248,proteins/cell
Strain 97,P0A9Q5,7.0,0.05253586007812854,proteins/cell
Strain 97,P0ABD5,7.0,0.048135711902039496,proteins/cell
Strain 97,P00893,7.0,0.5880702650387984,proteins/cell
Strain 97,P17115,8.0,0.02556540607743063,proteins/cell
Strain 97,P45395,8.0,0.02765918906708499,proteins/cell
Strain 97,P0A6A8,8.0,0.023838813571254287,proteins/cell
Strain 97,P76461,8.0,0.24573195977712656,proteins/cell
Strain 97,P77580,8.0,0.9849811896051066,proteins/cell
Strain 97,P24182,8.0,0.05004267860943801,proteins/cell
Strain 97,P0A9Q5,8.0,0.05093741134230706,proteins/cell
Strain 97,P0ABD5,8.0,0.05586812089568572,proteins/cell
Strain 97,P00893,8.0,0.5494778194654957,proteins/cell
