Line Name,Measurement Type,Time,Value,Units
Strain 97,b2215,0.0,0.0,FPKM
Strain 97,b1377,0.0,0.0,FPKM
Strain 97,b0929,0.0,0.0,FPKM
Strain 97,b0241,0.0,0.0,FPKM
Strain 97,b4032,0.0,0.0,FPKM
Strain 97,b4035,0.0,0.0,FPKM
Strain 97,b4033,0.0,0.0,FPKM
Strain 97,b4034,0.0,0.0,FPKM
Strain 97,b4036,0.0,0.0,FPKM
Strain 97,b4213,0.0,0.0,FPKM
Strain 97,b2835,0.0,0.0,FPKM
Strain 97,b2836,0.0,0.0,FPKM
Strain 97,b3553,0.0,0.0,FPKM
Strain 97,b1134,0.0,0.0,FPKM
Strain 97,b0446,0.0,0.0,FPKM
Strain 97,b1009,0.0,0.0,FPKM
Strain 97,b0180,0.0,2.4574156323040838e-05,FPKM
Strain 97,b0954,0.0,0.0,FPKM
Strain 97,b0159,0.0,0.0,FPKM
Strain 97,b2708,0.0,0.4451392589228205,FPKM
Strain 97,b3197,0.0,0.45912072195024145,FPKM
Strain 97,b1094,0.0,0.47823592409743193,FPKM
Strain 97,b4481,0.0,0.0,FPKM
Strain 97,b1927,0.0,0.0,FPKM
Strain 97,b3571,0.0,0.0,FPKM
Strain 97,b2901,0.0,0.0,FPKM
Strain 97,b1302,0.0,0.0,FPKM
Strain 97,b2662,0.0,0.0,FPKM
Strain 97,b1444,0.0,0.0,FPKM
Strain 97,b0347,0.0,0.0,FPKM
Strain 97,b2663,0.0,0.0,FPKM
Strain 97,b2222,0.0,0.0,FPKM
Strain 97,b2221,0.0,0.0,FPKM
Strain 97,b3845,0.0,0.0,FPKM
Strain 97,b2224,0.0,4.064928549414686,FPKM
Strain 97,b2342,0.0,0.0,FPKM
Strain 97,b3580,0.0,0.0,FPKM
Strain 97,b1093,0.0,2.2194832510506714e-05,FPKM
Strain 97,b2223,0.0,0.0,FPKM
Strain 97,b1241,0.0,0.0,FPKM
Strain 97,b0351,0.0,16.728095691993776,FPKM
Strain 97,b1463,0.0,0.0,FPKM
Strain 97,b1993,0.0,0.0,FPKM
Strain 97,b0185,0.0,0.7968165722089213,FPKM
Strain 97,b3255,0.0,0.865595087872864,FPKM
Strain 97,b3256,0.0,0.8093309501297271,FPKM
Strain 97,b2316,0.0,0.8387658225720094,FPKM
Strain 97,b4069,0.0,0.0,FPKM
Strain 97,b2323,0.0,2.1097324788247978e-05,FPKM
Strain 97,b1095,0.0,0.0,FPKM
Strain 97,b1119,0.0,0.0,FPKM
Strain 97,b3784,0.0,0.0,FPKM
Strain 97,b0679,0.0,0.0,FPKM
Strain 97,b2415,0.0,0.0,FPKM
Strain 97,b2416,0.0,0.0,FPKM
Strain 97,b1101,0.0,219.3515883875653,FPKM
Strain 97,b2417,0.0,0.0,FPKM
Strain 97,b3959,0.0,3.0801694678859524,FPKM
Strain 97,b2818,0.0,3.172254481097663,FPKM
Strain 97,b0077,0.0,8.983315593170195,FPKM
Strain 97,b0078,0.0,10.132113627166992,FPKM
Strain 97,b3671,0.0,10.258004963386886,FPKM
Strain 97,b3670,0.0,9.446515276824732,FPKM
Strain 97,b1849,0.0,0.0,FPKM
Strain 97,b2296,0.0,20.4488708639826,FPKM
Strain 97,b3115,0.0,0.0,FPKM
Strain 97,b2428,0.0,0.0,FPKM
Strain 97,b3794,0.0,0.0,FPKM
Strain 97,b1819,0.0,0.0,FPKM
Strain 97,b1817,0.0,0.0,FPKM
Strain 97,b1818,0.0,0.0,FPKM
Strain 97,b2429,0.0,0.0,FPKM
Strain 97,b1397,0.0,0.0,FPKM
Strain 97,b3224,0.0,0.0,FPKM
Strain 97,b1244,0.0,0.0,FPKM
Strain 97,b1246,0.0,0.0,FPKM
Strain 97,b1247,0.0,0.0,FPKM
Strain 97,b1245,0.0,0.0,FPKM
Strain 97,b1329,0.0,0.0,FPKM
Strain 97,b1386,0.0,0.0,FPKM
Strain 97,b4311,0.0,0.0,FPKM
Strain 97,b3225,0.0,0.0,FPKM
Strain 97,b0221,0.0,0.0,FPKM
Strain 97,b0004,0.0,6.6287267015294,FPKM
Strain 97,b1192,0.0,0.0,FPKM
Strain 97,b1243,0.0,0.0,FPKM
Strain 97,b4266,0.0,0.0,FPKM
Strain 97,b1091,0.0,2.2904969531329836e-05,FPKM
Strain 97,b4265,0.0,0.0,FPKM
Strain 97,b3957,0.0,0.0,FPKM
Strain 97,b4261,0.0,0.0,FPKM
Strain 97,b3199,0.0,0.0,FPKM
Strain 97,b4262,0.0,0.0,FPKM
Strain 97,b3201,0.0,0.0,FPKM
Strain 97,b3200,0.0,0.0,FPKM
Strain 97,b1519,0.0,0.0,FPKM
Strain 97,b0118,0.0,0.0,FPKM
Strain 97,b1276,0.0,19.470739029726488,FPKM
Strain 97,b3359,0.0,3.9217584036304025,FPKM
Strain 97,b1748,0.0,0.0,FPKM
Strain 97,b1090,0.0,0.0,FPKM
Strain 97,b1107,0.0,0.0,FPKM
Strain 97,b0433,0.0,0.0,FPKM
Strain 97,b3619,0.0,0.0,FPKM
Strain 97,b2937,0.0,0.0,FPKM
Strain 97,b2563,0.0,0.0,FPKM
Strain 97,b3475,0.0,0.0,FPKM
Strain 97,b3018,0.0,0.0,FPKM
Strain 97,b1533,0.0,0.0,FPKM
Strain 97,b2578,0.0,0.0,FPKM
Strain 97,b3958,0.0,3.274691780593341,FPKM
Strain 97,b4067,0.0,0.0,FPKM
Strain 97,b1623,0.0,0.0,FPKM
Strain 97,b1096,0.0,0.00803204382489453,FPKM
Strain 97,b0573,0.0,0.0,FPKM
Strain 97,b0574,0.0,0.0,FPKM
Strain 97,b0572,0.0,0.0,FPKM
Strain 97,b0575,0.0,0.0,FPKM
Strain 97,b1812,0.0,0.0,FPKM
Strain 97,b3360,0.0,0.007529699666857006,FPKM
Strain 97,b4006,0.0,9.591856464807458,FPKM
Strain 97,b3416,0.0,0.0,FPKM
Strain 97,b0522,0.0,8.439555547604483,FPKM
Strain 97,b0523,0.0,8.429300766160686,FPKM
Strain 97,b0727,0.0,0.0,FPKM
Strain 97,b0726,0.0,0.0,FPKM
Strain 97,b0116,0.0,102.19869214976684,FPKM
Strain 97,b2587,0.0,0.0,FPKM
Strain 97,b1488,0.0,0.0,FPKM
Strain 97,b3541,0.0,0.0,FPKM
Strain 97,b1484,0.0,0.0,FPKM
Strain 97,b1485,0.0,0.0,FPKM
Strain 97,b1486,0.0,0.0,FPKM
Strain 97,b3543,0.0,0.0,FPKM
Strain 97,b3544,0.0,0.0,FPKM
Strain 97,b1483,0.0,0.0,FPKM
Strain 97,b3540,0.0,0.0,FPKM
Strain 97,b3542,0.0,0.0,FPKM
Strain 97,b1487,0.0,0.0,FPKM
Strain 97,b3665,0.0,0.0,FPKM
Strain 97,b3654,0.0,0.0,FPKM
Strain 97,b3714,0.0,0.0,FPKM
Strain 97,b0474,0.0,0.0,FPKM
Strain 97,b0120,0.0,0.0,FPKM
Strain 97,b3806,0.0,0.0,FPKM
Strain 97,b0092,0.0,0.34755173996079086,FPKM
Strain 97,b0381,0.0,0.3254993594109032,FPKM
Strain 97,b1325,0.0,0.0,FPKM
Strain 97,b1190,0.0,0.4944170017735872,FPKM
Strain 97,b4053,0.0,0.4229292044516852,FPKM
Strain 97,b0030,0.0,0.0,FPKM
Strain 97,b2393,0.0,0.0,FPKM
Strain 97,b2964,0.0,0.0,FPKM
Strain 97,b2406,0.0,0.0,FPKM
