Line Name,Measurement Type,Concentration,Units,Time,Value
Strain 97,Optical Density,0.75,g/L,0.0,0.01
Strain 97,Optical Density,0.75,g/L,1.0,0.0170783525967775
Strain 97,Optical Density,0.75,g/L,2.0,0.029167012741985677
Strain 97,Optical Density,0.75,g/L,3.0,0.04981245278023285
Strain 97,Optical Density,0.75,g/L,4.0,0.08507146322911378
Strain 97,Optical Density,0.75,g/L,5.0,0.14528804449505991
Strain 97,Optical Density,0.75,g/L,6.0,0.2481280451982938
Strain 97,Optical Density,0.75,g/L,7.0,0.42376182450451044
Strain 97,Optical Density,0.75,g/L,8.0,0.7237153855940921
Strain 97,Optical Density,0.75,g/L,9.0,1.235986653488723
