Line Name,Measurement Type,Concentration,Units,Time,Value
Recommended,Optical Density,0.75,g/L,0.0,0.01
Recommended,Optical Density,0.75,g/L,1.0,0.0170783525967775
Recommended,Optical Density,0.75,g/L,2.0,0.029167012741985677
Recommended,Optical Density,0.75,g/L,3.0,0.04981245278023285
Recommended,Optical Density,0.75,g/L,4.0,0.08507146322911378
Recommended,Optical Density,0.75,g/L,5.0,0.14528804449505991
Recommended,Optical Density,0.75,g/L,6.0,0.2481280451982938
Recommended,Optical Density,0.75,g/L,7.0,0.42376182450451044
Recommended,Optical Density,0.75,g/L,8.0,0.7237153855940921
Recommended,Optical Density,0.75,g/L,9.0,1.235986653488723
