Line Name,Measurement Type,Time,Value,Units
Recommended,CID:5793,0.0,22.070750368028232,mg/L
Recommended,CID:5793,1.0,21.84488978346744,mg/L
Recommended,CID:5793,2.0,21.459157113383096,mg/L
Recommended,CID:5793,3.0,20.800389258603413,mg/L
Recommended,CID:5793,4.0,19.675322288268408,mg/L
Recommended,CID:5793,5.0,17.753893246831456,mg/L
Recommended,CID:5793,6.0,14.47240898089682,mg/L
Recommended,CID:5793,7.0,8.868174447456552,mg/L
Recommended,CID:5793,8.0,0.0,mg/L
Recommended,CID:5793,9.0,0.0,mg/L
Recommended,CID:16741146,0.0,18.618547959392263,mg/L
Recommended,CID:16741146,1.0,18.487980468768054,mg/L
Recommended,CID:16741146,2.0,18.264992704512377,mg/L
Recommended,CID:16741146,3.0,17.884166338239822,mg/L
Recommended,CID:16741146,4.0,17.23377764210464,mg/L
Recommended,CID:16741146,5.0,16.12302089434914,mg/L
Recommended,CID:16741146,6.0,14.22603135560747,mg/L
Recommended,CID:16741146,7.0,10.986285734104998,mg/L
Recommended,CID:16741146,8.0,5.453333929317126,mg/L
Recommended,CID:16741146,9.0,5.453333929317126,mg/L
Recommended,CID:15983957,0.0,0.003306240799293897,mg/L
Recommended,CID:15983957,1.0,0.008952755413313161,mg/L
Recommended,CID:15983957,2.0,0.01859607216542495,mg/L
Recommended,CID:15983957,3.0,0.03506526853492242,mg/L
Recommended,CID:15983957,4.0,0.06319194279330216,mg/L
Recommended,CID:15983957,5.0,0.11122766882922575,mg/L
Recommended,CID:15983957,6.0,0.19326477547778756,mg/L
Recommended,CID:15983957,7.0,0.3333706388141288,mg/L
Recommended,CID:15983957,8.0,0.5726483723074962,mg/L
Recommended,CID:15983957,9.0,0.5726483723074962,mg/L
