Line Name,Measurement Type,Time,Value,Units
Strain 97,P77747,0.0,0.0,proteins/cell
Strain 97,P02932,0.0,0.0,proteins/cell
Strain 97,P06996,0.0,0.0,proteins/cell
Strain 97,P02931,0.0,0.0,proteins/cell
Strain 97,P02916,0.0,0.0,proteins/cell
Strain 97,P68187,0.0,0.0,proteins/cell
Strain 97,P68183,0.0,0.0,proteins/cell
Strain 97,P0AEX9,0.0,0.0,proteins/cell
Strain 97,P02943,0.0,0.0,proteins/cell
Strain 97,P08331,0.0,0.0,proteins/cell
Strain 97,P39196,0.0,0.0,proteins/cell
Strain 97,P31119,0.0,0.0,proteins/cell
Strain 97,P37666,0.0,0.0,proteins/cell
Strain 97,P46891,0.0,0.0,proteins/cell
Strain 97,P0AEI6,0.0,0.0,proteins/cell
Strain 97,P75895,0.0,0.0,proteins/cell
Strain 97,P0A6Q3,0.0,0.0,proteins/cell
Strain 97,P0A6Q6,0.0,1.311139828245204e-06,proteins/cell
Strain 97,P0AF12,0.0,0.0,proteins/cell
Strain 97,P45395,0.0,0.025072360143557144,proteins/cell
Strain 97,P17115,0.0,0.024050524127958075,proteins/cell
Strain 97,P0A6A8,0.0,0.023362684687883065,proteins/cell
Strain 97,P56258,0.0,0.0,proteins/cell
Strain 97,P26612,0.0,0.0,proteins/cell
Strain 97,P25718,0.0,0.0,proteins/cell
Strain 97,Q46829,0.0,0.0,proteins/cell
Strain 97,P22256,0.0,0.0,proteins/cell
Strain 97,P50457,0.0,0.0,proteins/cell
Strain 97,P77674,0.0,0.0,proteins/cell
Strain 97,P77397,0.0,0.0,proteins/cell
Strain 97,P25527,0.0,0.0,proteins/cell
Strain 97,P76458,0.0,0.0,proteins/cell
Strain 97,P76459,0.0,0.0,proteins/cell
Strain 97,P76461,0.0,0.23736990116657097,proteins/cell
Strain 97,P76503,0.0,0.0,proteins/cell
Strain 97,P21151,0.0,0.0,proteins/cell
Strain 97,P37677,0.0,0.0,proteins/cell
Strain 97,P0AEK2,0.0,1.3339238995931418e-06,proteins/cell
Strain 97,P76460,0.0,0.0,proteins/cell
Strain 97,P77580,0.0,1.127489576232378,proteins/cell
Strain 97,P0A9Q7,0.0,0.0,proteins/cell
Strain 97,P77567,0.0,0.0,proteins/cell
Strain 97,P0AE76,0.0,0.0,proteins/cell
Strain 97,P0ABD8,0.0,0.048508061119822796,proteins/cell
Strain 97,P24182,0.0,0.04728350369873913,proteins/cell
Strain 97,P0ABD5,0.0,0.05250117695530972,proteins/cell
Strain 97,P0A9Q5,0.0,0.047035887267476005,proteins/cell
Strain 97,P27550,0.0,0.0,proteins/cell
Strain 97,P0AAI5,0.0,0.0,proteins/cell
Strain 97,P0A953,0.0,1.278166768839527e-06,proteins/cell
Strain 97,P75959,0.0,0.0,proteins/cell
Strain 97,P0AC78,0.0,0.0,proteins/cell
Strain 97,P69783,0.0,0.0,proteins/cell
Strain 97,P09323,0.0,0.0,proteins/cell
Strain 97,P08839,0.0,0.0,proteins/cell
Strain 97,P0AA04,0.0,0.0,proteins/cell
Strain 97,P69786,0.0,12.595350819383993,proteins/cell
Strain 97,P0A6C8,0.0,0.19939567630177973,proteins/cell
Strain 97,P0A6C5,0.0,0.20381323573726493,proteins/cell
Strain 97,P00894,0.0,0.5939251576052565,proteins/cell
Strain 97,P08142,0.0,0.5990129947762591,proteins/cell
Strain 97,P00893,0.0,0.5744282521957613,proteins/cell
Strain 97,P0ADF8,0.0,0.6482914475164008,proteins/cell
Strain 97,P0A6A3,0.0,1.222488564151306,proteins/cell
Strain 97,P33221,0.0,0.0,proteins/cell
Strain 97,P11868,0.0,0.0,proteins/cell
Strain 97,P76535,0.0,0.0,proteins/cell
Strain 97,P27836,0.0,0.0,proteins/cell
Strain 97,P69797,0.0,0.0,proteins/cell
Strain 97,P69801,0.0,0.0,proteins/cell
Strain 97,P69805,0.0,0.0,proteins/cell
Strain 97,P77272,0.0,0.0,proteins/cell
Strain 97,P0C7L2,0.0,0.0,proteins/cell
Strain 97,P41036,0.0,0.0,proteins/cell
Strain 97,P0AFH6,0.0,0.0,proteins/cell
Strain 97,P77348,0.0,0.0,proteins/cell
Strain 97,P76027,0.0,0.0,proteins/cell
Strain 97,P77737,0.0,0.0,proteins/cell
Strain 97,P0AFH2,0.0,0.0,proteins/cell
Strain 97,P46883,0.0,0.0,proteins/cell
Strain 97,P69856,0.0,0.0,proteins/cell
Strain 97,P0A6L4,0.0,0.0,proteins/cell
Strain 97,Q47146,0.0,0.0,proteins/cell
Strain 97,P00934,0.0,0.36673739525189536,proteins/cell
Strain 97,P76008,0.0,0.0,proteins/cell
Strain 97,P23843,0.0,0.0,proteins/cell
Strain 97,P0A9P9,0.0,0.0,proteins/cell
Strain 97,P0A6R0,0.0,1.2707986884129348e-06,proteins/cell
Strain 97,P39344,0.0,0.0,proteins/cell
Strain 97,P23908,0.0,0.0,proteins/cell
Strain 97,P0ADV1,0.0,0.0,proteins/cell
Strain 97,P0AF98,0.0,0.0,proteins/cell
Strain 97,P0A9V1,0.0,0.0,proteins/cell
Strain 97,P0ADV9,0.0,0.0,proteins/cell
Strain 97,P0ADC6,0.0,0.0,proteins/cell
Strain 97,P76145,0.0,0.0,proteins/cell
Strain 97,P25516,0.0,1.154147200044398,proteins/cell
Strain 97,P36683,0.0,0.0,proteins/cell
Strain 97,P77581,0.0,0.0,proteins/cell
Strain 97,P18335,0.0,0.2532787681200494,proteins/cell
Strain 97,P27247,0.0,0.0,proteins/cell
Strain 97,P75949,0.0,0.0,proteins/cell
Strain 97,P0AE16,0.0,0.0,proteins/cell
Strain 97,P67910,0.0,0.0,proteins/cell
Strain 97,P60651,0.0,0.0,proteins/cell
Strain 97,P24224,0.0,0.0,proteins/cell
Strain 97,P37623,0.0,0.0,proteins/cell
Strain 97,P26647,0.0,0.0,proteins/cell
Strain 97,P38101,0.0,0.0,proteins/cell
Strain 97,P31125,0.0,0.0,proteins/cell
Strain 97,P11446,0.0,0.19992807146447847,proteins/cell
Strain 97,P32705,0.0,0.0,proteins/cell
Strain 97,P22333,0.0,0.0,proteins/cell
Strain 97,P28305,0.0,0.00045616874852378783,proteins/cell
Strain 97,P77239,0.0,0.0,proteins/cell
Strain 97,P77211,0.0,0.0,proteins/cell
Strain 97,P38054,0.0,0.0,proteins/cell
Strain 97,P77214,0.0,0.0,proteins/cell
Strain 97,P00903,0.0,0.0004355922460120464,proteins/cell
Strain 97,P05041,0.0,0.0,proteins/cell
Strain 97,P15639,0.0,0.5445626277300935,proteins/cell
Strain 97,P15977,0.0,0.0,proteins/cell
Strain 97,P09029,0.0,0.5275997711483248,proteins/cell
Strain 97,P0AG18,0.0,0.5307019800215654,proteins/cell
Strain 97,P0A9P0,0.0,6.1017415781246225,proteins/cell
Strain 97,P0AFG3,0.0,0.0,proteins/cell
Strain 97,P0AFG6,0.0,0.0,proteins/cell
Strain 97,P0AEX3,0.0,0.0,proteins/cell
Strain 97,P77790,0.0,0.0,proteins/cell
Strain 97,P77622,0.0,0.0,proteins/cell
Strain 97,P77308,0.0,0.0,proteins/cell
Strain 97,P37313,0.0,0.0,proteins/cell
Strain 97,P0AEG1,0.0,0.0,proteins/cell
Strain 97,P76128,0.0,0.0,proteins/cell
Strain 97,P77268,0.0,0.0,proteins/cell
Strain 97,P0AAG0,0.0,0.0,proteins/cell
Strain 97,P23847,0.0,0.0,proteins/cell
Strain 97,P77463,0.0,0.0,proteins/cell
Strain 97,P0AEF8,0.0,0.0,proteins/cell
Strain 97,P31441,0.0,0.0,proteins/cell
Strain 97,P31466,0.0,0.0,proteins/cell
Strain 97,P0AGM9,0.0,0.0,proteins/cell
Strain 97,P69441,0.0,0.0,proteins/cell
Strain 97,P0A7F6,0.0,0.0,proteins/cell
Strain 97,P00936,0.0,0.0,proteins/cell
Strain 97,P0A6J8,0.0,0.017138981186621563,proteins/cell
Strain 97,P07862,0.0,0.019646502886711985,proteins/cell
Strain 97,P51981,0.0,0.0,proteins/cell
Strain 97,P0A6B4,0.0,0.029254734595110053,proteins/cell
Strain 97,P29012,0.0,0.027128422642304858,proteins/cell
Strain 97,P22564,0.0,0.0,proteins/cell
Strain 97,P0AFF2,0.0,0.0,proteins/cell
Strain 97,P0AFF4,0.0,0.0,proteins/cell
Strain 97,P45562,0.0,0.0,proteins/cell
Strain 97,P0A927,0.0,0.0,proteins/cell
Strain 97,P36561,0.0,0.0,proteins/cell
Strain 97,P0A825,0.0,0.0,proteins/cell
Strain 97,P75823,0.0,0.0,proteins/cell
Strain 97,P0A959,0.0,0.0,proteins/cell
Strain 97,P77434,0.0,0.0,proteins/cell
Strain 97,P00957,0.0,0.0,proteins/cell
Strain 97,P0AD96,0.0,0.0,proteins/cell
Strain 97,P22729,0.0,0.0,proteins/cell
Strain 97,P0A9S7,0.0,0.0,proteins/cell
Strain 97,P0AEX7,0.0,0.0,proteins/cell
Strain 97,P22731,0.0,0.0,proteins/cell
Strain 97,P0AAE0,0.0,0.0,proteins/cell
Strain 97,P37028,0.0,0.0,proteins/cell
Strain 97,P06611,0.0,0.0,proteins/cell
Strain 97,P06609,0.0,0.0,proteins/cell
Strain 97,P0ABV2,0.0,0.0,proteins/cell
Strain 97,P0ABU7,0.0,0.0,proteins/cell
Strain 97,P02929,0.0,0.0,proteins/cell
Strain 97,P06129,0.0,0.0,proteins/cell
Strain 97,P30143,0.0,0.0,proteins/cell
Strain 97,P25437,0.0,0.0,proteins/cell
Strain 97,P39451,0.0,0.0,proteins/cell
Strain 97,Q93K97,0.0,0.0,proteins/cell
Strain 97,P45799,0.0,0.0,proteins/cell
Strain 97,P69503,0.0,0.00045803279719496844,proteins/cell
Strain 97,P0A6J1,0.0,0.1859190240710558,proteins/cell
Strain 97,P0AB89,0.0,0.5091514440909068,proteins/cell
Strain 97,P0A7D4,0.0,0.1977713477622424,proteins/cell
Strain 97,P0AF18,0.0,0.0,proteins/cell
Strain 97,P80668,0.0,0.0,proteins/cell
Strain 97,P23883,0.0,0.0,proteins/cell
Strain 97,P0A761,0.0,0.0,proteins/cell
Strain 97,P37685,0.0,0.0,proteins/cell
Strain 97,P13016,0.0,0.0,proteins/cell
Strain 97,P26365,0.0,0.0,proteins/cell
Strain 97,P36548,0.0,0.0,proteins/cell
Strain 97,P63883,0.0,0.0,proteins/cell
Strain 97,P32718,0.0,0.0,proteins/cell
Strain 97,P37351,0.0,1.723644975529198,proteins/cell
Strain 97,P77425,0.0,0.1920373617914351,proteins/cell
Strain 97,P77671,0.0,0.18157707762833947,proteins/cell
Strain 97,P75712,0.0,0.0,proteins/cell
Strain 97,P45425,0.0,0.0,proteins/cell
Strain 97,P32719,0.0,0.0,proteins/cell
Strain 97,P12995,0.0,1.3687742584566267e-06,proteins/cell
Strain 97,P39265,0.0,0.0,proteins/cell
Strain 97,P32720,0.0,0.0,proteins/cell
Strain 97,P32721,0.0,0.0,proteins/cell
Strain 97,P0A887,0.0,0.0,proteins/cell
Strain 97,P69776,0.0,0.0,proteins/cell
Strain 97,P23930,0.0,0.0,proteins/cell
Strain 97,P69820,0.0,0.0,proteins/cell
Strain 97,P69822,0.0,0.0,proteins/cell
Strain 97,P39301,0.0,0.0,proteins/cell
Strain 97,P30136,0.0,0.00014115205085060077,proteins/cell
Strain 97,P30863,0.0,0.0,proteins/cell
Strain 97,P76234,0.0,0.0,proteins/cell
Strain 97,Q46851,0.0,0.0,proteins/cell
Strain 97,Q46857,0.0,0.0,proteins/cell
Strain 97,P0A9S5,0.0,0.0,proteins/cell
Strain 97,P37595,0.0,0.0,proteins/cell
Strain 97,P0A962,0.0,0.0,proteins/cell
Strain 97,P00805,0.0,0.0,proteins/cell
Strain 97,P0AE12,0.0,0.0,proteins/cell
Strain 97,P22106,0.0,0.0,proteins/cell
Strain 97,P42604,0.0,0.0,proteins/cell
Strain 97,P00963,0.0,0.16042814707826922,proteins/cell
