Line Name,Measurement Type,Time,Value,Units
Recommended,P02931,0.0,0.0,proteins/cell
Recommended,P02932,0.0,0.0,proteins/cell
Recommended,P77747,0.0,0.0,proteins/cell
Recommended,P06996,0.0,0.0,proteins/cell
Recommended,P68187,0.0,0.0,proteins/cell
Recommended,P68183,0.0,0.0,proteins/cell
Recommended,P0AEX9,0.0,0.0,proteins/cell
Recommended,P02916,0.0,0.0,proteins/cell
Recommended,P02943,0.0,0.0,proteins/cell
Recommended,P08331,0.0,0.0,proteins/cell
Recommended,P39196,0.0,0.0,proteins/cell
Recommended,P31119,0.0,0.0,proteins/cell
Recommended,P37666,0.0,0.0,proteins/cell
Recommended,P46891,0.0,0.0,proteins/cell
Recommended,P0AEI6,0.0,0.0,proteins/cell
Recommended,P75895,0.0,0.0,proteins/cell
Recommended,P0A6Q3,0.0,0.0,proteins/cell
Recommended,P0A6Q6,0.0,1.3371711874731163e-06,proteins/cell
Recommended,P0AF12,0.0,0.0,proteins/cell
Recommended,P45395,0.0,0.02549431106651941,proteins/cell
Recommended,P17115,0.0,0.024435641340325803,proteins/cell
Recommended,P0A6A8,0.0,0.024898188919150393,proteins/cell
Recommended,P56258,0.0,0.0,proteins/cell
Recommended,P26612,0.0,0.0,proteins/cell
Recommended,P25718,0.0,0.0,proteins/cell
Recommended,Q46829,0.0,0.0,proteins/cell
Recommended,P50457,0.0,0.0,proteins/cell
Recommended,P22256,0.0,0.0,proteins/cell
Recommended,P77674,0.0,0.0,proteins/cell
Recommended,P77397,0.0,0.0,proteins/cell
Recommended,P25527,0.0,0.0,proteins/cell
Recommended,P76458,0.0,0.0,proteins/cell
Recommended,P76459,0.0,0.0,proteins/cell
Recommended,P76503,0.0,0.0,proteins/cell
Recommended,P21151,0.0,0.0,proteins/cell
Recommended,P76461,0.0,0.20740241627659373,proteins/cell
Recommended,P37677,0.0,0.0,proteins/cell
Recommended,P0AEK2,0.0,1.2574577543230023e-06,proteins/cell
Recommended,P76460,0.0,0.0,proteins/cell
Recommended,P77580,0.0,-0.9829225869089546,proteins/cell
Recommended,P0A9Q7,0.0,0.0,proteins/cell
Recommended,P77567,0.0,0.0,proteins/cell
Recommended,P0AE76,0.0,0.0,proteins/cell
Recommended,P0A9Q5,0.0,0.05334773677331608,proteins/cell
Recommended,P0ABD8,0.0,0.054653134746120935,proteins/cell
Recommended,P0ABD5,0.0,0.05182079018980522,proteins/cell
Recommended,P24182,0.0,0.04890486734454338,proteins/cell
Recommended,P27550,0.0,0.0,proteins/cell
Recommended,P0AAI5,0.0,0.0,proteins/cell
Recommended,P0A953,0.0,1.3496816095520847e-06,proteins/cell
Recommended,P75959,0.0,0.0,proteins/cell
Recommended,P0AC78,0.0,0.0,proteins/cell
Recommended,P0AA04,0.0,0.0,proteins/cell
Recommended,P08839,0.0,0.0,proteins/cell
Recommended,P69786,0.0,13.188480081423046,proteins/cell
Recommended,P69783,0.0,0.0,proteins/cell
Recommended,P09323,0.0,0.0,proteins/cell
Recommended,P0A6C8,0.0,0.1991451992393643,proteins/cell
Recommended,P0A6C5,0.0,0.18736601004398556,proteins/cell
Recommended,P08142,0.0,0.6037274815338989,proteins/cell
Recommended,P0ADF8,0.0,0.5805944815627054,proteins/cell
Recommended,P00893,0.0,0.6026700485432059,proteins/cell
Recommended,P00894,0.0,0.5216924341230516,proteins/cell
Recommended,P0A6A3,0.0,-1.1490878899871182,proteins/cell
Recommended,P33221,0.0,0.0,proteins/cell
Recommended,P11868,0.0,0.0,proteins/cell
Recommended,P76535,0.0,0.0,proteins/cell
Recommended,P27836,0.0,0.0,proteins/cell
Recommended,P69801,0.0,0.0,proteins/cell
Recommended,P69805,0.0,0.0,proteins/cell
Recommended,P69797,0.0,0.0,proteins/cell
Recommended,P77272,0.0,0.0,proteins/cell
Recommended,P0C7L2,0.0,0.0,proteins/cell
Recommended,P41036,0.0,0.0,proteins/cell
Recommended,P77737,0.0,0.0,proteins/cell
Recommended,P0AFH6,0.0,0.0,proteins/cell
Recommended,P77348,0.0,0.0,proteins/cell
Recommended,P0AFH2,0.0,0.0,proteins/cell
Recommended,P76027,0.0,0.0,proteins/cell
Recommended,P46883,0.0,0.0,proteins/cell
Recommended,P69856,0.0,0.0,proteins/cell
Recommended,P0A6L4,0.0,0.0,proteins/cell
Recommended,Q47146,0.0,0.0,proteins/cell
Recommended,P00934,0.0,0.3337967220818536,proteins/cell
Recommended,P76008,0.0,0.0,proteins/cell
Recommended,P23843,0.0,0.0,proteins/cell
Recommended,P0A9P9,0.0,0.0,proteins/cell
Recommended,P0A6R0,0.0,1.2435326345721765e-06,proteins/cell
Recommended,P39344,0.0,0.0,proteins/cell
Recommended,P23908,0.0,0.0,proteins/cell
Recommended,P0ADV9,0.0,0.0,proteins/cell
Recommended,P0ADC6,0.0,0.0,proteins/cell
Recommended,P0A9V1,0.0,0.0,proteins/cell
Recommended,P0ADV1,0.0,0.0,proteins/cell
Recommended,P0AF98,0.0,0.0,proteins/cell
Recommended,P76145,0.0,0.0,proteins/cell
Recommended,P25516,0.0,1.336683621129178,proteins/cell
Recommended,P36683,0.0,0.0,proteins/cell
Recommended,P77581,0.0,0.0,proteins/cell
Recommended,P18335,0.0,-0.24546606437114832,proteins/cell
Recommended,P27247,0.0,0.0,proteins/cell
Recommended,P75949,0.0,0.0,proteins/cell
Recommended,P0AE16,0.0,0.0,proteins/cell
Recommended,P67910,0.0,0.0,proteins/cell
Recommended,P60651,0.0,0.0,proteins/cell
Recommended,P37623,0.0,0.0,proteins/cell
Recommended,P24224,0.0,0.0,proteins/cell
Recommended,P26647,0.0,0.0,proteins/cell
Recommended,P38101,0.0,0.0,proteins/cell
Recommended,P31125,0.0,0.0,proteins/cell
Recommended,P11446,0.0,-0.18222122197733043,proteins/cell
Recommended,P32705,0.0,0.0,proteins/cell
Recommended,P22333,0.0,0.0,proteins/cell
Recommended,P28305,0.0,0.0004727118804896258,proteins/cell
Recommended,P77211,0.0,0.0,proteins/cell
Recommended,P77214,0.0,0.0,proteins/cell
Recommended,P77239,0.0,0.0,proteins/cell
Recommended,P38054,0.0,0.0,proteins/cell
Recommended,P05041,0.0,0.0,proteins/cell
Recommended,P00903,0.0,0.0004998786628816934,proteins/cell
Recommended,P15639,0.0,-0.5676501367078373,proteins/cell
Recommended,P15977,0.0,0.0,proteins/cell
Recommended,P09029,0.0,0.508827452280357,proteins/cell
Recommended,P0AG18,0.0,-0.5216444432074115,proteins/cell
Recommended,P0A9P0,0.0,6.050187652647487,proteins/cell
Recommended,P0AFG3,0.0,0.0,proteins/cell
Recommended,P0AFG6,0.0,0.0,proteins/cell
Recommended,P0AEX3,0.0,0.0,proteins/cell
Recommended,P77790,0.0,0.0,proteins/cell
Recommended,P77463,0.0,0.0,proteins/cell
Recommended,P77308,0.0,0.0,proteins/cell
Recommended,P23847,0.0,0.0,proteins/cell
Recommended,P0AEF8,0.0,0.0,proteins/cell
Recommended,P77622,0.0,0.0,proteins/cell
Recommended,P37313,0.0,0.0,proteins/cell
Recommended,P0AEG1,0.0,0.0,proteins/cell
Recommended,P76128,0.0,0.0,proteins/cell
Recommended,P0AAG0,0.0,0.0,proteins/cell
Recommended,P77268,0.0,0.0,proteins/cell
Recommended,P31441,0.0,0.0,proteins/cell
Recommended,P0AGM9,0.0,0.0,proteins/cell
Recommended,P31466,0.0,0.0,proteins/cell
Recommended,P69441,0.0,0.0,proteins/cell
Recommended,P0A7F6,0.0,0.0,proteins/cell
Recommended,P00936,0.0,0.0,proteins/cell
Recommended,P0A6J8,0.0,0.01739109786830621,proteins/cell
Recommended,P07862,0.0,0.016567510557181024,proteins/cell
Recommended,P51981,0.0,0.0,proteins/cell
Recommended,P0A6B4,0.0,0.029662380771411714,proteins/cell
Recommended,P29012,0.0,0.027815864500833377,proteins/cell
Recommended,P22564,0.0,0.0,proteins/cell
Recommended,P0AFF2,0.0,0.0,proteins/cell
Recommended,P0AFF4,0.0,0.0,proteins/cell
Recommended,P45562,0.0,0.0,proteins/cell
Recommended,P0A927,0.0,0.0,proteins/cell
Recommended,P36561,0.0,0.0,proteins/cell
Recommended,P75823,0.0,0.0,proteins/cell
Recommended,P0A825,0.0,0.0,proteins/cell
Recommended,P0A959,0.0,0.0,proteins/cell
Recommended,P77434,0.0,0.0,proteins/cell
Recommended,P00957,0.0,0.0,proteins/cell
Recommended,P0A9S7,0.0,0.0,proteins/cell
Recommended,P22729,0.0,0.0,proteins/cell
Recommended,P22731,0.0,0.0,proteins/cell
Recommended,P0AD96,0.0,0.0,proteins/cell
Recommended,P0AEX7,0.0,0.0,proteins/cell
Recommended,P0AAE0,0.0,0.0,proteins/cell
Recommended,P37028,0.0,0.0,proteins/cell
Recommended,P06611,0.0,0.0,proteins/cell
Recommended,P06609,0.0,0.0,proteins/cell
Recommended,P0ABV2,0.0,0.0,proteins/cell
Recommended,P02929,0.0,0.0,proteins/cell
Recommended,P0ABU7,0.0,0.0,proteins/cell
Recommended,P06129,0.0,0.0,proteins/cell
Recommended,P30143,0.0,0.0,proteins/cell
Recommended,P25437,0.0,0.0,proteins/cell
Recommended,P39451,0.0,0.0,proteins/cell
Recommended,P45799,0.0,0.0,proteins/cell
Recommended,Q93K97,0.0,0.0,proteins/cell
Recommended,P69503,0.0,0.0004490207519191446,proteins/cell
Recommended,P0A6J1,0.0,0.1706999653200223,proteins/cell
Recommended,P0AB89,0.0,0.4952206488845933,proteins/cell
Recommended,P0A7D4,0.0,0.1992696108416114,proteins/cell
Recommended,P0AF18,0.0,0.0,proteins/cell
Recommended,P80668,0.0,0.0,proteins/cell
Recommended,P23883,0.0,0.0,proteins/cell
Recommended,P0A761,0.0,0.0,proteins/cell
Recommended,P37685,0.0,0.0,proteins/cell
Recommended,P13016,0.0,0.0,proteins/cell
Recommended,P36548,0.0,0.0,proteins/cell
Recommended,P63883,0.0,0.0,proteins/cell
Recommended,P26365,0.0,0.0,proteins/cell
Recommended,P32718,0.0,0.0,proteins/cell
Recommended,P37351,0.0,-1.8529056042981236,proteins/cell
Recommended,P77425,0.0,0.19396421916046386,proteins/cell
Recommended,P77671,0.0,0.1928188741541847,proteins/cell
Recommended,P75712,0.0,0.0,proteins/cell
Recommended,P45425,0.0,0.0,proteins/cell
Recommended,P32719,0.0,0.0,proteins/cell
Recommended,P12995,0.0,1.2954655631158451e-06,proteins/cell
Recommended,P32721,0.0,0.0,proteins/cell
Recommended,P32720,0.0,0.0,proteins/cell
Recommended,P39265,0.0,0.0,proteins/cell
Recommended,P0A887,0.0,0.0,proteins/cell
Recommended,P23930,0.0,0.0,proteins/cell
Recommended,P69776,0.0,0.0,proteins/cell
Recommended,P39301,0.0,0.0,proteins/cell
Recommended,P69822,0.0,0.0,proteins/cell
Recommended,P69820,0.0,0.0,proteins/cell
Recommended,P30136,0.0,0.0001447535899624063,proteins/cell
Recommended,Q46857,0.0,0.0,proteins/cell
Recommended,Q46851,0.0,0.0,proteins/cell
Recommended,P30863,0.0,0.0,proteins/cell
Recommended,P76234,0.0,0.0,proteins/cell
Recommended,P0A9S5,0.0,0.0,proteins/cell
Recommended,P37595,0.0,0.0,proteins/cell
Recommended,P0A962,0.0,0.0,proteins/cell
Recommended,P00805,0.0,0.0,proteins/cell
Recommended,P0AE12,0.0,0.0,proteins/cell
Recommended,P22106,0.0,0.0,proteins/cell
Recommended,P42604,0.0,0.0,proteins/cell
Recommended,P00963,0.0,0.156943396029541,proteins/cell
Recommended,P15288,0.0,0.0,proteins/cell
Recommended,P37095,0.0,0.0,proteins/cell
Recommended,P68767,0.0,0.0,proteins/cell
Recommended,P04825,0.0,0.0,proteins/cell
Recommended,P0A8M0,0.0,0.0,proteins/cell
Recommended,P77610,0.0,0.0,proteins/cell
Recommended,P0AB93,0.0,0.0,proteins/cell
Recommended,P0A790,0.0,0.0003878521620818489,proteins/cell
Recommended,P0A7F3,0.0,0.2368783876505994,proteins/cell
Recommended,P0A786,0.0,0.23293224121398085,proteins/cell
Recommended,P00561,0.0,-0.48413751155996493,proteins/cell
Recommended,P08660,0.0,0.7471464671232063,proteins/cell
Recommended,P00562,0.0,-0.5326767148780884,proteins/cell
Recommended,P10902,0.0,0.0,proteins/cell
Recommended,P77570,0.0,0.0,proteins/cell
Recommended,P00904,0.0,0.036285238664582525,proteins/cell
Recommended,P00895,0.0,0.04201840708650487,proteins/cell
Recommended,P12998,0.0,1.3394676515715998e-06,proteins/cell
Recommended,P0AC38,0.0,0.0,proteins/cell
Recommended,P21179,0.0,0.0,proteins/cell
Recommended,P13029,0.0,0.0,proteins/cell
Recommended,P00509,0.0,-0.09041519698372025,proteins/cell
Recommended,P05637,0.0,0.0,proteins/cell
Recommended,P21889,0.0,0.0,proteins/cell
Recommended,P45394,0.0,-0.003691155517052334,proteins/cell
Recommended,P0A9H5,0.0,0.0,proteins/cell
Recommended,P0A8N5,0.0,0.0,proteins/cell
Recommended,P0AAG3,0.0,0.0,proteins/cell
Recommended,P0AER5,0.0,0.0,proteins/cell
Recommended,P0AER3,0.0,0.0,proteins/cell
Recommended,P37902,0.0,0.0,proteins/cell
Recommended,P0A830,0.0,0.0,proteins/cell
Recommended,P0ABN9,0.0,0.0,proteins/cell
Recommended,P0ABN5,0.0,0.0,proteins/cell
