Line Name,Measurement Type,Time,Value,Units
Strain 97,b1377,0.0,0.0,FPKM
Strain 97,b0241,0.0,0.0,FPKM
Strain 97,b2215,0.0,0.0,FPKM
Strain 97,b0929,0.0,0.0,FPKM
Strain 97,b4033,0.0,0.0,FPKM
Strain 97,b4035,0.0,0.0,FPKM
Strain 97,b4032,0.0,0.0,FPKM
Strain 97,b4034,0.0,0.0,FPKM
Strain 97,b4036,0.0,0.0,FPKM
Strain 97,b4213,0.0,0.0,FPKM
Strain 97,b2835,0.0,0.0,FPKM
Strain 97,b2836,0.0,0.0,FPKM
Strain 97,b3553,0.0,0.0,FPKM
Strain 97,b0446,0.0,0.0,FPKM
Strain 97,b1134,0.0,0.0,FPKM
Strain 97,b1009,0.0,0.0,FPKM
Strain 97,b0954,0.0,0.0,FPKM
Strain 97,b0180,0.0,2.209941912138529e-05,FPKM
Strain 97,b0159,0.0,0.0,FPKM
Strain 97,b3197,0.0,0.4115309668012417,FPKM
Strain 97,b2708,0.0,0.42365618375161646,FPKM
Strain 97,b1094,0.0,0.3910044619954504,FPKM
Strain 97,b4481,0.0,0.0,FPKM
Strain 97,b1927,0.0,0.0,FPKM
Strain 97,b3571,0.0,0.0,FPKM
Strain 97,b2901,0.0,0.0,FPKM
Strain 97,b2662,0.0,0.0,FPKM
Strain 97,b1302,0.0,0.0,FPKM
Strain 97,b1444,0.0,0.0,FPKM
Strain 97,b0347,0.0,0.0,FPKM
Strain 97,b2663,0.0,0.0,FPKM
Strain 97,b2221,0.0,0.0,FPKM
Strain 97,b2222,0.0,0.0,FPKM
Strain 97,b2224,0.0,4.370417356270346,FPKM
Strain 97,b2342,0.0,0.0,FPKM
Strain 97,b3845,0.0,0.0,FPKM
Strain 97,b3580,0.0,0.0,FPKM
Strain 97,b1093,0.0,2.2100197707729977e-05,FPKM
Strain 97,b2223,0.0,0.0,FPKM
Strain 97,b0351,0.0,20.928845738797833,FPKM
Strain 97,b1241,0.0,0.0,FPKM
Strain 97,b1463,0.0,0.0,FPKM
Strain 97,b1993,0.0,0.0,FPKM
Strain 97,b3255,0.0,0.8472044250617841,FPKM
Strain 97,b3256,0.0,0.8133264837641733,FPKM
Strain 97,b0185,0.0,0.9367415514105649,FPKM
Strain 97,b2316,0.0,0.8844209975543837,FPKM
Strain 97,b4069,0.0,0.0,FPKM
Strain 97,b1095,0.0,0.0,FPKM
Strain 97,b2323,0.0,2.19897924025351e-05,FPKM
Strain 97,b1119,0.0,0.0,FPKM
Strain 97,b3784,0.0,0.0,FPKM
Strain 97,b2417,0.0,0.0,FPKM
Strain 97,b0679,0.0,0.0,FPKM
Strain 97,b2416,0.0,0.0,FPKM
Strain 97,b2415,0.0,0.0,FPKM
Strain 97,b1101,0.0,203.5401317575453,FPKM
Strain 97,b3959,0.0,3.4035120051863,FPKM
Strain 97,b2818,0.0,3.807491396836537,FPKM
Strain 97,b0078,0.0,9.488537605362497,FPKM
Strain 97,b3671,0.0,10.131580262312559,FPKM
Strain 97,b0077,0.0,9.1306207513328,FPKM
Strain 97,b3670,0.0,10.197263751850842,FPKM
Strain 97,b2296,0.0,20.392969508568722,FPKM
Strain 97,b1849,0.0,0.0,FPKM
Strain 97,b3115,0.0,0.0,FPKM
Strain 97,b2428,0.0,0.0,FPKM
Strain 97,b3794,0.0,0.0,FPKM
Strain 97,b1817,0.0,0.0,FPKM
Strain 97,b1818,0.0,0.0,FPKM
Strain 97,b1819,0.0,0.0,FPKM
Strain 97,b2429,0.0,0.0,FPKM
Strain 97,b1397,0.0,0.0,FPKM
Strain 97,b3224,0.0,0.0,FPKM
Strain 97,b1245,0.0,0.0,FPKM
Strain 97,b1329,0.0,0.0,FPKM
Strain 97,b1246,0.0,0.0,FPKM
Strain 97,b1247,0.0,0.0,FPKM
Strain 97,b1244,0.0,0.0,FPKM
Strain 97,b1386,0.0,0.0,FPKM
Strain 97,b4311,0.0,0.0,FPKM
Strain 97,b3225,0.0,0.0,FPKM
Strain 97,b0221,0.0,0.0,FPKM
Strain 97,b0004,0.0,5.849854619362818,FPKM
Strain 97,b1192,0.0,0.0,FPKM
Strain 97,b1243,0.0,0.0,FPKM
Strain 97,b4266,0.0,0.0,FPKM
Strain 97,b1091,0.0,2.1147090084981757e-05,FPKM
Strain 97,b4265,0.0,0.0,FPKM
Strain 97,b3957,0.0,0.0,FPKM
Strain 97,b3200,0.0,0.0,FPKM
Strain 97,b4261,0.0,0.0,FPKM
Strain 97,b3201,0.0,0.0,FPKM
Strain 97,b3199,0.0,0.0,FPKM
Strain 97,b4262,0.0,0.0,FPKM
Strain 97,b1519,0.0,0.0,FPKM
Strain 97,b1276,0.0,18.424696700990417,FPKM
Strain 97,b0118,0.0,0.0,FPKM
Strain 97,b1748,0.0,0.0,FPKM
Strain 97,b3359,0.0,4.0904180292644785,FPKM
Strain 97,b1090,0.0,0.0,FPKM
Strain 97,b1107,0.0,0.0,FPKM
Strain 97,b0433,0.0,0.0,FPKM
Strain 97,b3619,0.0,0.0,FPKM
Strain 97,b2937,0.0,0.0,FPKM
Strain 97,b2563,0.0,0.0,FPKM
Strain 97,b3475,0.0,0.0,FPKM
Strain 97,b3018,0.0,0.0,FPKM
