Line Name,Measurement Type,Time,Value,Units
Strain 1,CID:5793,0.0,22.203000000000003,mg/L
Strain 1,CID:5793,1.0,22.203000000000003,mg/L
Strain 1,CID:5793,2.0,22.203000000000003,mg/L
Strain 1,CID:5793,3.0,22.203000000000003,mg/L
Strain 1,CID:5793,4.0,22.203000000000003,mg/L
Strain 1,CID:5793,5.0,22.203000000000003,mg/L
Strain 1,CID:5793,6.0,22.203000000000003,mg/L
Strain 1,CID:5793,7.0,22.203000000000003,mg/L
Strain 1,CID:5793,8.0,22.203000000000003,mg/L
Strain 1,CID:5793,9.0,22.203000000000003,mg/L
Strain 1,CID:16741146,0.0,18.695,mg/L
Strain 1,CID:16741146,1.0,18.695,mg/L
Strain 1,CID:16741146,2.0,18.695,mg/L
Strain 1,CID:16741146,3.0,18.695,mg/L
Strain 1,CID:16741146,4.0,18.695,mg/L
Strain 1,CID:16741146,5.0,18.695,mg/L
Strain 1,CID:16741146,6.0,18.695,mg/L
Strain 1,CID:16741146,7.0,18.695,mg/L
Strain 1,CID:16741146,8.0,18.695,mg/L
Strain 1,CID:16741146,9.0,18.695,mg/L
Strain 1,CID:15983957,0.0,0.0,mg/L
Strain 1,CID:15983957,1.0,0.0,mg/L
Strain 1,CID:15983957,2.0,0.0,mg/L
Strain 1,CID:15983957,3.0,0.0,mg/L
Strain 1,CID:15983957,4.0,0.0,mg/L
Strain 1,CID:15983957,5.0,0.0,mg/L
Strain 1,CID:15983957,6.0,0.0,mg/L
Strain 1,CID:15983957,7.0,0.0,mg/L
Strain 1,CID:15983957,8.0,0.0,mg/L
Strain 1,CID:15983957,9.0,0.0,mg/L
Strain 2,CID:5793,0.0,22.071323962228746,mg/L
Strain 2,CID:5793,1.0,21.848232450542458,mg/L
Strain 2,CID:5793,2.0,21.470260699350103,mg/L
Strain 2,CID:5793,3.0,20.829883826112933,mg/L
Strain 2,CID:5793,4.0,19.74492829980908,mg/L
Strain 2,CID:5793,5.0,17.906747467494434,mg/L
Strain 2,CID:5793,6.0,14.792418181962475,mg/L
Strain 2,CID:5793,7.0,9.515980342868652,mg/L
Strain 2,CID:5793,8.0,0.5764001901984361,mg/L
Strain 2,CID:5793,9.0,0.5764001901984361,mg/L
Strain 2,CID:16741146,0.0,18.61887483359451,mg/L
Strain 2,CID:16741146,1.0,18.48990012613655,mg/L
Strain 2,CID:16741146,2.0,18.271385330710547,mg/L
Strain 2,CID:16741146,3.0,17.90116765965567,mg/L
Strain 2,CID:16741146,4.0,17.273928099898527,mg/L
Strain 2,CID:16741146,5.0,16.211230405528177,mg/L
Strain 2,CID:16741146,6.0,14.410759802710814,mg/L
Strain 2,CID:16741146,7.0,11.360320897288878,mg/L
Strain 2,CID:16741146,8.0,6.192129036143726,mg/L
Strain 2,CID:16741146,9.0,6.192129036143726,mg/L
Strain 2,CID:15983957,0.0,0.0033615282412377905,mg/L
Strain 2,CID:15983957,1.0,0.009056781755902632,mg/L
Strain 2,CID:15983957,2.0,0.01870593840982951,mg/L
Strain 2,CID:15983957,3.0,0.03505397698129588,mg/L
Strain 2,CID:15983957,4.0,0.06275157182246319,mg/L
Strain 2,CID:15983957,5.0,0.10967808088907098,mg/L
Strain 2,CID:15983957,6.0,0.18918309959274845,mg/L
Strain 2,CID:15983957,7.0,0.3238841060132338,mg/L
Strain 2,CID:15983957,8.0,0.5521006566981328,mg/L
Strain 2,CID:15983957,9.0,0.5521006566981328,mg/L
Strain 3,CID:5793,0.0,22.075207805856067,mg/L
Strain 3,CID:5793,1.0,21.87034317639213,mg/L
Strain 3,CID:5793,2.0,21.541923146503066,mg/L
Strain 3,CID:5793,3.0,21.015430525946183,mg/L
Strain 3,CID:5793,4.0,20.17140624150564,mg/L
Strain 3,CID:5793,5.0,18.81834464008743,mg/L
Strain 3,CID:5793,6.0,16.649241512870375,mg/L
Strain 3,CID:5793,7.0,13.171935943440365,mg/L
Strain 3,CID:5793,8.0,7.597441180389396,mg/L
Strain 3,CID:5793,9.0,7.597441180389396,mg/L
Strain 3,CID:16741146,0.0,18.620932540339233,mg/L
Strain 3,CID:16741146,1.0,18.502194437590575,mg/L
Strain 3,CID:16741146,2.0,18.311844558278764,mg/L
Strain 3,CID:16741146,3.0,18.006693234787893,mg/L
Strain 3,CID:16741146,4.0,17.517502677733223,mg/L
Strain 3,CID:16741146,5.0,16.733277760373927,mg/L
Strain 3,CID:16741146,6.0,15.476080797355626,mg/L
Strain 3,CID:16741146,7.0,13.460658871804851,mg/L
Strain 3,CID:16741146,8.0,10.229720794895345,mg/L
Strain 3,CID:16741146,9.0,10.229720794895345,mg/L
Strain 3,CID:15983957,0.0,0.003055320176747277,mg/L
Strain 3,CID:15983957,1.0,0.007953326976740248,mg/L
Strain 3,CID:15983957,2.0,0.015805212876211366,mg/L
Strain 3,CID:15983957,3.0,0.02839263022990464,mg/L
Strain 3,CID:15983957,4.0,0.048571988156974034,mg/L
Strain 3,CID:15983957,5.0,0.08092144832801589,mg/L
Strain 3,CID:15983957,6.0,0.1327814589838131,mg/L
Strain 3,CID:15983957,7.0,0.21591863287903,mg/L
Strain 3,CID:15983957,8.0,0.3491964628655708,mg/L
Strain 3,CID:15983957,9.0,0.3491964628655708,mg/L
