Line Name,Measurement Type,Time,Value,Units
WT,P77747,0.0,0.0,proteins/cell
WT,P02932,0.0,0.0,proteins/cell
WT,P02931,0.0,0.0,proteins/cell
WT,P06996,0.0,0.0,proteins/cell
WT,P02916,0.0,0.0,proteins/cell
WT,P68187,0.0,0.0,proteins/cell
WT,P68183,0.0,0.0,proteins/cell
WT,P0AEX9,0.0,0.0,proteins/cell
WT,P02943,0.0,0.0,proteins/cell
WT,P08331,0.0,0.0,proteins/cell
WT,P39196,0.0,0.0,proteins/cell
WT,P31119,0.0,0.0,proteins/cell
WT,P37666,0.0,0.0,proteins/cell
WT,P0AEI6,0.0,0.0,proteins/cell
WT,P46891,0.0,0.0,proteins/cell
WT,P75895,0.0,0.0,proteins/cell
WT,P0A6Q6,0.0,1.387207076592135e-06,proteins/cell
WT,P0A6Q3,0.0,0.0,proteins/cell
WT,P0AF12,0.0,0.0,proteins/cell
WT,P17115,0.0,0.02587423741253462,proteins/cell
WT,P45395,0.0,0.02568413896808752,proteins/cell
WT,P0A6A8,0.0,0.026153869778557617,proteins/cell
WT,P56258,0.0,0.0,proteins/cell
WT,P26612,0.0,0.0,proteins/cell
WT,P25718,0.0,0.0,proteins/cell
WT,Q46829,0.0,0.0,proteins/cell
WT,P50457,0.0,0.0,proteins/cell
WT,P22256,0.0,0.0,proteins/cell
WT,P77674,0.0,0.0,proteins/cell
WT,P77397,0.0,0.0,proteins/cell
WT,P25527,0.0,0.0,proteins/cell
WT,P76458,0.0,0.0,proteins/cell
WT,P76459,0.0,0.0,proteins/cell
WT,P76461,0.0,0.23546025026339076,proteins/cell
WT,P21151,0.0,0.0,proteins/cell
WT,P76503,0.0,0.0,proteins/cell
WT,P37677,0.0,0.0,proteins/cell
WT,P0AEK2,0.0,1.2641376747563267e-06,proteins/cell
WT,P76460,0.0,0.0,proteins/cell
WT,P0A9Q7,0.0,0.0,proteins/cell
WT,P77580,0.0,-1.0027584917161474,proteins/cell
WT,P77567,0.0,0.0,proteins/cell
WT,P0AE76,0.0,0.0,proteins/cell
WT,P24182,0.0,0.051843006172367895,proteins/cell
WT,P0A9Q5,0.0,0.05689598793730792,proteins/cell
WT,P0ABD8,0.0,0.052377913390412145,proteins/cell
