Line Name,Measurement Type,Time,Value,Units
WT,P02932,0.0,0.0,proteins/cell
WT,P06996,0.0,0.0,proteins/cell
WT,P02931,0.0,0.0,proteins/cell
WT,P77747,0.0,0.0,proteins/cell
WT,P0AEX9,0.0,0.0,proteins/cell
WT,P68183,0.0,0.0,proteins/cell
WT,P68187,0.0,0.0,proteins/cell
WT,P02916,0.0,0.0,proteins/cell
WT,P02943,0.0,0.0,proteins/cell
WT,P08331,0.0,0.0,proteins/cell
WT,P39196,0.0,0.0,proteins/cell
WT,P31119,0.0,0.0,proteins/cell
WT,P37666,0.0,0.0,proteins/cell
WT,P46891,0.0,0.0,proteins/cell
WT,P0AEI6,0.0,0.0,proteins/cell
WT,P75895,0.0,0.0,proteins/cell
WT,P0A6Q3,0.0,0.0,proteins/cell
WT,P0A6Q6,0.0,1.2982936152170617e-06,proteins/cell
WT,P0AF12,0.0,0.0,proteins/cell
WT,P45395,0.0,0.024195933996286965,proteins/cell
WT,P17115,0.0,0.025997324279521197,proteins/cell
WT,P0A6A8,0.0,0.02634095828681593,proteins/cell
WT,P56258,0.0,0.0,proteins/cell
WT,P26612,0.0,0.0,proteins/cell
WT,P25718,0.0,0.0,proteins/cell
WT,Q46829,0.0,0.0,proteins/cell
WT,P50457,0.0,0.0,proteins/cell
WT,P22256,0.0,0.0,proteins/cell
WT,P77674,0.0,0.0,proteins/cell
WT,P77397,0.0,0.0,proteins/cell
WT,P25527,0.0,0.0,proteins/cell
WT,P76459,0.0,0.0,proteins/cell
WT,P76458,0.0,0.0,proteins/cell
WT,P76503,0.0,0.0,proteins/cell
WT,P21151,0.0,0.0,proteins/cell
WT,P76461,0.0,0.23833560362512451,proteins/cell
WT,P37677,0.0,0.0,proteins/cell
WT,P0AEK2,0.0,1.4715392170691116e-06,proteins/cell
WT,P76460,0.0,0.0,proteins/cell
WT,P77580,0.0,-1.048111210850431,proteins/cell
WT,P0A9Q7,0.0,0.0,proteins/cell
WT,P77567,0.0,0.0,proteins/cell
WT,P0AE76,0.0,0.0,proteins/cell
WT,P24182,0.0,0.056533961025108166,proteins/cell
WT,P0ABD5,0.0,0.05185431849668232,proteins/cell
WT,P0A9Q5,0.0,0.05206872546783598,proteins/cell
WT,P0ABD8,0.0,0.0532897010035369,proteins/cell
WT,P27550,0.0,0.0,proteins/cell
WT,P0A953,0.0,1.2960594548029121e-06,proteins/cell
WT,P0AAI5,0.0,0.0,proteins/cell
WT,P75959,0.0,0.0,proteins/cell
WT,P0AC78,0.0,0.0,proteins/cell
WT,P08839,0.0,0.0,proteins/cell
WT,P0AA04,0.0,0.0,proteins/cell
WT,P69783,0.0,0.0,proteins/cell
WT,P69786,0.0,12.756776762689274,proteins/cell
WT,P09323,0.0,0.0,proteins/cell
WT,P0A6C8,0.0,0.20386527928836354,proteins/cell
WT,P0A6C5,0.0,0.20695735706614504,proteins/cell
WT,P08142,0.0,0.5612482870627035,proteins/cell
WT,P00893,0.0,0.6007753088417574,proteins/cell
WT,P0ADF8,0.0,0.5915352010597794,proteins/cell
WT,P00894,0.0,0.5936609162733312,proteins/cell
WT,P11868,0.0,0.0,proteins/cell
WT,P33221,0.0,0.0,proteins/cell
WT,P0A6A3,0.0,-1.1748223356540037,proteins/cell
WT,P76535,0.0,0.0,proteins/cell
WT,P27836,0.0,0.0,proteins/cell
WT,P69805,0.0,0.0,proteins/cell
WT,P69801,0.0,0.0,proteins/cell
WT,P69797,0.0,0.0,proteins/cell
WT,P77272,0.0,0.0,proteins/cell
WT,P0C7L2,0.0,0.0,proteins/cell
WT,P41036,0.0,0.0,proteins/cell
WT,P77737,0.0,0.0,proteins/cell
WT,P77348,0.0,0.0,proteins/cell
WT,P0AFH2,0.0,0.0,proteins/cell
WT,P76027,0.0,0.0,proteins/cell
WT,P0AFH6,0.0,0.0,proteins/cell
WT,P46883,0.0,0.0,proteins/cell
WT,P69856,0.0,0.0,proteins/cell
WT,P0A6L4,0.0,0.0,proteins/cell
WT,Q47146,0.0,0.0,proteins/cell
WT,P00934,0.0,0.38355956422621057,proteins/cell
WT,P76008,0.0,0.0,proteins/cell
WT,P23843,0.0,0.0,proteins/cell
WT,P0A9P9,0.0,0.0,proteins/cell
WT,P0A6R0,0.0,1.3077401272346855e-06,proteins/cell
WT,P39344,0.0,0.0,proteins/cell
WT,P23908,0.0,0.0,proteins/cell
WT,P0ADV9,0.0,0.0,proteins/cell
WT,P0ADV1,0.0,0.0,proteins/cell
WT,P0AF98,0.0,0.0,proteins/cell
WT,P0ADC6,0.0,0.0,proteins/cell
WT,P0A9V1,0.0,0.0,proteins/cell
WT,P76145,0.0,0.0,proteins/cell
WT,P36683,0.0,0.0,proteins/cell
WT,P25516,0.0,1.3186132962139432,proteins/cell
WT,P77581,0.0,0.0,proteins/cell
WT,P18335,0.0,-0.26252684290608247,proteins/cell
