Line Name,Measurement Type,Time,Value,Units
WT,b0241,0.0,0.0,FPKM
WT,b2215,0.0,0.0,FPKM
WT,b0929,0.0,0.0,FPKM
WT,b1377,0.0,0.0,FPKM
WT,b4034,0.0,0.0,FPKM
WT,b4032,0.0,0.0,FPKM
WT,b4035,0.0,0.0,FPKM
WT,b4033,0.0,0.0,FPKM
WT,b4036,0.0,0.0,FPKM
WT,b4213,0.0,0.0,FPKM
WT,b2835,0.0,0.0,FPKM
WT,b2836,0.0,0.0,FPKM
WT,b3553,0.0,0.0,FPKM
WT,b0446,0.0,0.0,FPKM
WT,b1134,0.0,0.0,FPKM
WT,b1009,0.0,0.0,FPKM
WT,b0954,0.0,0.0,FPKM
WT,b0180,0.0,2.057569511851135e-05,FPKM
WT,b0159,0.0,0.0,FPKM
WT,b3197,0.0,0.4413905990415518,FPKM
WT,b2708,0.0,0.4035770623549177,FPKM
WT,b1094,0.0,0.407222392370482,FPKM
WT,b4481,0.0,0.0,FPKM
WT,b1927,0.0,0.0,FPKM
WT,b3571,0.0,0.0,FPKM
WT,b2901,0.0,0.0,FPKM
WT,b1302,0.0,0.0,FPKM
WT,b2662,0.0,0.0,FPKM
WT,b1444,0.0,0.0,FPKM
WT,b0347,0.0,0.0,FPKM
WT,b2663,0.0,0.0,FPKM
WT,b2222,0.0,0.0,FPKM
WT,b2221,0.0,0.0,FPKM
WT,b2342,0.0,0.0,FPKM
WT,b3845,0.0,0.0,FPKM
WT,b2224,0.0,3.8534193016013933,FPKM
WT,b3580,0.0,0.0,FPKM
WT,b1093,0.0,2.3761882509620728e-05,FPKM
WT,b2223,0.0,0.0,FPKM
WT,b0351,0.0,-16.410041413149685,FPKM
WT,b1241,0.0,0.0,FPKM
WT,b1463,0.0,0.0,FPKM
WT,b1993,0.0,0.0,FPKM
WT,b3256,0.0,0.8805091590550564,FPKM
WT,b0185,0.0,0.8461531955964443,FPKM
WT,b2316,0.0,0.8867856253475244,FPKM
WT,b3255,0.0,0.8848259612745164,FPKM
WT,b4069,0.0,0.0,FPKM
WT,b2323,0.0,2.081572636012764e-05,FPKM
WT,b1095,0.0,0.0,FPKM
WT,b1119,0.0,0.0,FPKM
WT,b3784,0.0,0.0,FPKM
WT,b2416,0.0,0.0,FPKM
WT,b2415,0.0,0.0,FPKM
WT,b2417,0.0,0.0,FPKM
WT,b1101,0.0,218.80055375267906,FPKM
WT,b0679,0.0,0.0,FPKM
WT,b3959,0.0,3.0448817779908444,FPKM
WT,b2818,0.0,3.4294609815313946,FPKM
WT,b3671,0.0,9.128346243724348,FPKM
WT,b0077,0.0,9.116535947440397,FPKM
WT,b3670,0.0,9.37234633150562,FPKM
WT,b0078,0.0,9.468039398118398,FPKM
WT,b3115,0.0,0.0,FPKM
WT,b1849,0.0,0.0,FPKM
WT,b2296,0.0,-19.603760405325488,FPKM
WT,b2428,0.0,0.0,FPKM
WT,b3794,0.0,0.0,FPKM
WT,b1819,0.0,0.0,FPKM
WT,b1818,0.0,0.0,FPKM
WT,b1817,0.0,0.0,FPKM
WT,b2429,0.0,0.0,FPKM
WT,b1397,0.0,0.0,FPKM
WT,b3224,0.0,0.0,FPKM
WT,b1247,0.0,0.0,FPKM
WT,b1329,0.0,0.0,FPKM
WT,b1244,0.0,0.0,FPKM
WT,b1246,0.0,0.0,FPKM
WT,b1245,0.0,0.0,FPKM
WT,b1386,0.0,0.0,FPKM
WT,b4311,0.0,0.0,FPKM
WT,b3225,0.0,0.0,FPKM
WT,b0221,0.0,0.0,FPKM
WT,b0004,0.0,6.337449618511226,FPKM
WT,b1192,0.0,0.0,FPKM
WT,b1243,0.0,0.0,FPKM
WT,b4266,0.0,0.0,FPKM
WT,b1091,0.0,2.250880096309696e-05,FPKM
WT,b4265,0.0,0.0,FPKM
WT,b3957,0.0,0.0,FPKM
WT,b3199,0.0,0.0,FPKM
WT,b3200,0.0,0.0,FPKM
WT,b4261,0.0,0.0,FPKM
WT,b4262,0.0,0.0,FPKM
WT,b3201,0.0,0.0,FPKM
WT,b1519,0.0,0.0,FPKM
WT,b0118,0.0,0.0,FPKM
WT,b1276,0.0,20.551421780619517,FPKM
WT,b1748,0.0,0.0,FPKM
WT,b3359,0.0,-4.324045494454445,FPKM
WT,b1090,0.0,0.0,FPKM
WT,b1107,0.0,0.0,FPKM
WT,b0433,0.0,0.0,FPKM
