Line Name,ACCOAC,POX,PTAr,CS,ACACT1R,PPC,PPCK
WT,1,1,1,1,1,1,1
1,0,1,0,2,2,0,1
2,0,0,2,2,2,0,2
3,0,2,2,2,1,1,2
4,1,0,2,0,2,2,1
5,2,2,1,1,2,2,0
6,0,0,1,1,0,2,2
7,1,2,0,0,1,2,1
8,1,0,0,2,0,2,0
9,1,1,1,0,2,2,2
10,2,2,1,0,0,2,2
11,1,0,1,0,0,2,0
12,2,1,2,0,1,1,2
13,1,1,1,1,2,1,1
14,0,1,1,2,0,0,2
15,0,0,0,0,2,0,1
16,0,1,0,2,2,2,1
17,1,1,1,1,2,0,2
18,0,1,2,0,0,2,2
19,2,1,0,2,2,0,0
20,1,0,0,1,0,0,0
21,0,2,2,1,2,0,1
22,0,2,2,1,1,1,1
23,0,0,0,2,1,2,2
24,1,1,0,2,2,0,0
25,0,1,0,0,1,0,0
26,1,0,1,0,1,2,0
27,0,2,1,1,2,1,1
28,2,1,2,0,0,2,0
29,0,2,0,2,1,2,0
30,1,2,1,0,2,2,2
31,1,1,0,1,1,2,1
32,1,0,2,1,1,1,2
33,0,2,1,2,2,1,0
34,1,0,1,1,2,1,2
35,1,1,1,2,2,0,1
36,1,0,2,1,1,2,1
37,0,2,0,1,1,2,2
38,0,1,2,1,1,1,0
39,2,1,0,0,0,2,1
40,2,1,2,1,1,1,1
41,2,2,0,1,0,0,2
42,1,0,2,0,2,1,2
43,1,1,1,1,2,2,0
44,2,2,1,1,1,0,2
45,1,0,0,0,0,2,0
46,2,2,1,0,1,0,0
47,0,1,1,2,0,1,2
