Line Name,ACCOAC,POX,PTAr,CS,ACACT1R,PPCK,PYK,MDH
WT,1,1,1,1,1,1,1,1
1,2,0,1,2,1,0,0,1
2,0,1,1,1,2,0,1,1
3,2,1,1,0,0,0,0,0
4,0,1,0,1,2,2,1,0
5,0,1,0,1,0,1,1,2
6,0,0,2,2,0,0,0,1
7,0,2,1,2,1,2,0,2
8,2,1,1,2,0,2,1,2
9,2,1,1,1,0,1,2,2
10,1,2,0,2,0,0,1,1
11,1,1,2,2,1,2,0,0
12,1,2,2,2,2,0,0,1
13,0,2,1,1,2,1,0,0
14,0,0,0,2,1,0,0,1
15,0,0,0,2,1,1,1,1
16,2,1,0,2,0,2,2,1
17,0,0,2,2,0,1,0,2
18,0,0,1,2,0,0,2,0
19,0,2,2,2,0,2,1,2
20,2,1,0,1,1,1,1,1
21,1,2,0,2,2,0,2,2
22,1,0,0,2,0,2,0,2
23,0,2,1,1,2,0,0,0
24,2,2,0,2,0,1,1,1
25,2,2,1,1,1,1,1,2
26,0,2,1,1,0,1,0,2
27,0,1,2,2,2,0,0,1
28,0,0,2,2,0,1,1,2
29,0,2,1,1,0,0,1,0
30,0,1,1,2,0,0,2,1
31,0,0,0,1,0,2,2,1
32,0,1,0,2,1,1,2,1
33,1,2,2,1,2,2,0,1
34,1,2,1,2,0,2,2,0
35,1,1,1,2,2,2,2,2
36,1,0,2,1,1,0,1,2
37,0,2,2,0,0,0,0,2
38,0,2,1,1,0,2,1,2
39,1,0,2,1,2,1,1,0
40,1,0,0,2,0,0,0,1
41,1,2,1,2,0,1,2,2
42,0,2,2,2,2,0,1,2
43,2,1,2,2,0,0,2,1
44,1,0,1,0,1,0,2,0
45,1,1,2,1,0,2,0,0
46,0,0,1,1,0,0,1,2
47,0,2,0,2,0,0,2,2
48,0,1,1,0,1,2,0,1
49,0,0,1,2,0,1,0,1
50,0,1,0,0,2,1,2,0
51,1,1,0,2,0,1,0,0
52,0,0,2,2,0,0,0,1
53,0,0,2,2,0,2,2,1
54,2,0,2,0,1,0,2,1
55,0,0,1,1,1,2,1,0
56,1,2,2,1,1,0,2,1
57,0,0,2,2,2,2,2,2
58,1,0,0,1,0,2,1,2
59,1,0,1,0,1,0,1,2
60,0,1,0,2,2,2,0,1
61,0,2,0,0,1,2,1,2
62,0,0,2,1,0,2,1,1
63,2,2,2,0,2,1,0,1
64,0,2,1,0,0,2,0,2
65,2,2,0,0,2,2,2,2
66,1,1,0,1,1,0,2,0
67,0,2,1,2,1,0,1,1
68,0,0,2,1,2,1,2,0
69,0,0,1,1,2,0,1,2
70,0,2,0,0,1,2,2,0
71,2,2,2,2,1,0,1,1
72,0,1,2,0,2,0,1,1
73,2,2,2,0,1,1,2,2
74,0,2,2,2,0,2,0,0
75,0,2,0,1,2,2,1,2
76,2,0,2,0,2,2,0,0
77,0,2,1,2,2,1,1,1
78,2,1,0,1,2,2,2,0
79,1,2,1,2,2,1,2,0
80,2,0,1,1,2,1,2,2
81,1,0,2,2,1,0,1,1
82,1,1,0,0,0,0,0,0
83,0,1,2,2,1,1,1,0
84,1,1,1,0,2,2,2,0
85,0,1,0,0,0,1,1,0
86,1,1,0,0,0,2,2,2
87,0,1,0,1,1,1,0,1
88,2,1,1,2,2,1,1,2
89,2,2,0,0,0,1,2,1
90,2,0,2,1,0,1,2,1
91,0,0,1,0,1,0,2,2
92,0,1,0,2,2,2,1,2
93,2,1,1,2,2,0,2,0
94,2,0,2,1,1,1,2,2
95,0,0,1,2,1,2,0,2
96,1,0,1,2,2,2,1,0
97,2,2,0,2,2,2,1,0
98,1,1,0,0,1,1,2,1
99,2,2,0,2,1,1,2,1
Summary,"[49.0, 27.0, 24.0]","[33.0, 33.0, 34.0]","[33.0, 36.0, 31.0]","[22.0, 31.0, 47.0]","[39.0, 30.0, 31.0]","[34.0, 32.0, 34.0]","[28.999999999999996, 36.0, 35.0]","[28.000000000000004, 37.0, 35.0]"
