Line Name,Measurement Type,Time,Value,Units
WT,P77747,0.0,0.0,proteins/cell
WT,P02932,0.0,0.0,proteins/cell
WT,P06996,0.0,0.0,proteins/cell
WT,P02931,0.0,0.0,proteins/cell
WT,P0AEX9,0.0,0.0,proteins/cell
WT,P68187,0.0,0.0,proteins/cell
WT,P68183,0.0,0.0,proteins/cell
WT,P02916,0.0,0.0,proteins/cell
WT,P02943,0.0,0.0,proteins/cell
WT,P08331,0.0,0.0,proteins/cell
WT,P39196,0.0,0.0,proteins/cell
WT,P31119,0.0,0.0,proteins/cell
WT,P37666,0.0,0.0,proteins/cell
WT,P0AEI6,0.0,0.0,proteins/cell
WT,P46891,0.0,0.0,proteins/cell
WT,P75895,0.0,0.0,proteins/cell
WT,P0A6Q6,0.0,1.3786014191129294e-06,proteins/cell
WT,P0A6Q3,0.0,0.0,proteins/cell
WT,P0AF12,0.0,0.0,proteins/cell
WT,P17115,0.0,0.027747601875529628,proteins/cell
WT,P45395,0.0,0.02755405046023764,proteins/cell
WT,P0A6A8,0.0,0.028253663660561434,proteins/cell
WT,P56258,0.0,0.0,proteins/cell
WT,P26612,0.0,0.0,proteins/cell
WT,P25718,0.0,0.0,proteins/cell
WT,Q46829,0.0,0.0,proteins/cell
WT,P50457,0.0,0.0,proteins/cell
WT,P22256,0.0,0.0,proteins/cell
WT,P77674,0.0,0.0,proteins/cell
WT,P77397,0.0,0.0,proteins/cell
WT,P25527,0.0,0.0,proteins/cell
WT,P76459,0.0,0.0,proteins/cell
WT,P76458,0.0,0.0,proteins/cell
WT,P21151,0.0,0.0,proteins/cell
WT,P76461,0.0,0.260259483199682,proteins/cell
WT,P76503,0.0,0.0,proteins/cell
WT,P37677,0.0,0.0,proteins/cell
WT,P0AEK2,0.0,1.4726997553707033e-06,proteins/cell
WT,P76460,0.0,0.0,proteins/cell
WT,P0A9Q7,0.0,0.0,proteins/cell
WT,P77580,0.0,-0.9519745357026693,proteins/cell
WT,P77567,0.0,0.0,proteins/cell
WT,P0AE76,0.0,0.0,proteins/cell
WT,P0ABD5,0.0,0.05125239369396791,proteins/cell
WT,P24182,0.0,0.052879941259872096,proteins/cell
WT,P0A9Q5,0.0,0.04957124272075548,proteins/cell
