Line Name,Measurement Type,Time,Value,Units
WT,b1377,0.0,0.0,FPKM
WT,b0241,0.0,0.0,FPKM
WT,b2215,0.0,0.0,FPKM
WT,b0929,0.0,0.0,FPKM
WT,b4034,0.0,0.0,FPKM
WT,b4035,0.0,0.0,FPKM
WT,b4032,0.0,0.0,FPKM
WT,b4033,0.0,0.0,FPKM
WT,b4036,0.0,0.0,FPKM
WT,b4213,0.0,0.0,FPKM
WT,b2835,0.0,0.0,FPKM
WT,b2836,0.0,0.0,FPKM
WT,b3553,0.0,0.0,FPKM
WT,b1134,0.0,0.0,FPKM
WT,b0446,0.0,0.0,FPKM
WT,b1009,0.0,0.0,FPKM
WT,b0180,0.0,2.252249140737867e-05,FPKM
WT,b0954,0.0,0.0,FPKM
WT,b0159,0.0,0.0,FPKM
WT,b2708,0.0,0.4487362811737986,FPKM
WT,b3197,0.0,0.4486100580638507,FPKM
WT,b1094,0.0,0.5013788054299886,FPKM
WT,b4481,0.0,0.0,FPKM
WT,b1927,0.0,0.0,FPKM
WT,b3571,0.0,0.0,FPKM
WT,b2901,0.0,0.0,FPKM
WT,b1302,0.0,0.0,FPKM
WT,b2662,0.0,0.0,FPKM
WT,b1444,0.0,0.0,FPKM
WT,b0347,0.0,0.0,FPKM
WT,b2663,0.0,0.0,FPKM
WT,b2222,0.0,0.0,FPKM
WT,b2221,0.0,0.0,FPKM
WT,b3845,0.0,0.0,FPKM
WT,b2224,0.0,3.9636630403274333,FPKM
WT,b2342,0.0,0.0,FPKM
WT,b3580,0.0,0.0,FPKM
WT,b1093,0.0,2.6636349378752082e-05,FPKM
WT,b2223,0.0,0.0,FPKM
WT,b1241,0.0,0.0,FPKM
WT,b0351,0.0,-16.126706549302252,FPKM
WT,b1463,0.0,0.0,FPKM
WT,b1993,0.0,0.0,FPKM
WT,b0185,0.0,0.8071404053622084,FPKM
WT,b3256,0.0,0.899079261753667,FPKM
WT,b2316,0.0,0.8479413780234525,FPKM
WT,b3255,0.0,0.9279028342543557,FPKM
WT,b4069,0.0,0.0,FPKM
WT,b2323,0.0,1.986552373439857e-05,FPKM
WT,b1095,0.0,0.0,FPKM
WT,b1119,0.0,0.0,FPKM
WT,b3784,0.0,0.0,FPKM
WT,b2415,0.0,0.0,FPKM
WT,b2416,0.0,0.0,FPKM
WT,b1101,0.0,172.87288107648808,FPKM
WT,b0679,0.0,0.0,FPKM
WT,b2417,0.0,0.0,FPKM
WT,b3959,0.0,3.4186825511438603,FPKM
WT,b2818,0.0,3.320955691181284,FPKM
WT,b0077,0.0,10.71756614344233,FPKM
WT,b0078,0.0,9.426999368292439,FPKM
WT,b3671,0.0,9.10514656473218,FPKM
WT,b3670,0.0,8.526594416986491,FPKM
WT,b1849,0.0,0.0,FPKM
WT,b2296,0.0,-21.319113002001192,FPKM
WT,b3115,0.0,0.0,FPKM
WT,b2428,0.0,0.0,FPKM
WT,b3794,0.0,0.0,FPKM
WT,b1818,0.0,0.0,FPKM
WT,b1819,0.0,0.0,FPKM
WT,b1817,0.0,0.0,FPKM
WT,b2429,0.0,0.0,FPKM
WT,b1397,0.0,0.0,FPKM
WT,b3224,0.0,0.0,FPKM
WT,b1246,0.0,0.0,FPKM
WT,b1247,0.0,0.0,FPKM
WT,b1245,0.0,0.0,FPKM
WT,b1244,0.0,0.0,FPKM
WT,b1329,0.0,0.0,FPKM
WT,b1386,0.0,0.0,FPKM
WT,b4311,0.0,0.0,FPKM
WT,b3225,0.0,0.0,FPKM
WT,b0221,0.0,0.0,FPKM
WT,b0004,0.0,5.72208281526316,FPKM
WT,b1192,0.0,0.0,FPKM
WT,b1243,0.0,0.0,FPKM
WT,b4266,0.0,0.0,FPKM
WT,b1091,0.0,2.2989720995033858e-05,FPKM
WT,b4265,0.0,0.0,FPKM
WT,b3957,0.0,0.0,FPKM
WT,b4261,0.0,0.0,FPKM
WT,b3199,0.0,0.0,FPKM
WT,b3201,0.0,0.0,FPKM
WT,b4262,0.0,0.0,FPKM
WT,b3200,0.0,0.0,FPKM
WT,b1519,0.0,0.0,FPKM
WT,b0118,0.0,0.0,FPKM
WT,b1276,0.0,19.48449610045071,FPKM
WT,b3359,0.0,-4.115271774584089,FPKM
WT,b1748,0.0,0.0,FPKM
WT,b1090,0.0,0.0,FPKM
WT,b1107,0.0,0.0,FPKM
WT,b0433,0.0,0.0,FPKM
WT,b3619,0.0,0.0,FPKM
WT,b2937,0.0,0.0,FPKM
WT,b3475,0.0,0.0,FPKM
WT,b2563,0.0,0.0,FPKM
