	ACCOAC	MDH	PTAr	CS	ACACT1r	PPC	PPCK	PFL	Isoprenol [mM]
0	2.0	1.0	2.0	1.0	2.0	1.0	0.0	1.0	0.6831758515348467
1	2.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	0.6817917651653326
2	2.0	1.0	0.0	1.0	2.0	1.0	0.0	1.0	0.6819399109918354
3	2.0	1.0	2.0	1.0	2.0	1.0	0.0	0.0	0.6774439308011934
4	2.0	0.0	2.0	1.0	2.0	1.0	0.0	1.0	0.6836878206118335
5	2.0	0.0	2.0	1.0	2.0	1.0	0.0	0.0	0.6783551666860236
6	2.0	0.0	1.0	1.0	2.0	1.0	0.0	1.0	0.6843579842563244
7	2.0	0.0	0.0	1.0	2.0	1.0	0.0	2.0	0.6818447397588244
8	2.0	1.0	0.0	1.0	2.0	1.0	0.0	2.0	0.6818637720814822
9	2.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	0.6851288712734999
10	2.0	0.0	0.0	1.0	2.0	2.0	0.0	1.0	0.684632964133981
11	2.0	1.0	0.0	1.0	2.0	1.0	2.0	1.0	0.6834195374623104
12	2.0	0.0	0.0	1.0	2.0	2.0	0.0	2.0	0.6846940017254881
13	2.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	0.678847935348508
14	2.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.6789532087105602
15	2.0	1.0	0.0	1.0	2.0	2.0	0.0	1.0	0.6852933876704275
16	2.0	1.0	0.0	1.0	2.0	2.0	0.0	2.0	0.6851070533702017
17	1.0	0.0	2.0	1.0	2.0	1.0	0.0	1.0	0.683906368621936
18	1.0	0.0	0.0	1.0	2.0	1.0	0.0	2.0	0.6826592459269061
19	1.0	1.0	2.0	1.0	2.0	1.0	0.0	1.0	0.6840115420748472
20	1.0	0.0	0.0	1.0	2.0	2.0	0.0	2.0	0.6848347597288595
21	1.0	1.0	0.0	1.0	2.0	2.0	0.0	2.0	0.6849231869963335
22	2.0	0.0	0.0	1.0	2.0	1.0	1.0	1.0	0.6843013384094225
23	2.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	0.6808312655766499
24	2.0	1.0	0.0	1.0	2.0	1.0	1.0	1.0	0.6845953654014658
25	1.0	1.0	0.0	1.0	2.0	1.0	0.0	2.0	0.683211560819984
26	2.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	0.6810182456471494
27	2.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	0.6855888295433694
28	1.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	0.683486397173599
29	2.0	0.0	0.0	1.0	2.0	1.0	2.0	1.0	0.6849368377745171
30	1.0	1.0	2.0	1.0	2.0	1.0	0.0	0.0	0.6801775560336004
31	1.0	1.0	2.0	1.0	2.0	1.0	0.0	2.0	0.6843262194448706
32	1.0	0.0	2.0	1.0	2.0	1.0	0.0	0.0	0.6803420518037557
33	1.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	0.22045455828716626
34	2.0	1.0	2.0	1.0	2.0	1.0	0.0	2.0	0.6857113936293772
35	2.0	1.0	0.0	1.0	2.0	2.0	0.0	0.0	0.6868806672601511
36	2.0	0.0	1.0	1.0	2.0	1.0	0.0	2.0	0.6856801815094453
37	1.0	1.0	0.0	1.0	2.0	2.0	1.0	2.0	0.6863277030133593
38	1.0	1.0	0.0	1.0	2.0	1.0	0.0	1.0	0.6847882066423395
39	2.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	0.6903147909080564
40	2.0	1.0	2.0	1.0	2.0	1.0	1.0	0.0	0.6843142180626549
41	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	0.2229972755419555
42	2.0	1.0	0.0	1.0	2.0	1.0	1.0	2.0	0.6845940360035403
43	2.0	1.0	1.0	1.0	2.0	1.0	0.0	2.0	0.6859123312756474
44	2.0	1.0	2.0	1.0	2.0	1.0	2.0	0.0	0.6847824941613212
45	2.0	1.0	0.0	1.0	2.0	1.0	2.0	0.0	0.680660170128185
46	2.0	0.0	0.0	1.0	2.0	2.0	1.0	1.0	0.6871140159254077
47	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	0.6905562654498483
48	1.0	0.0	2.0	1.0	2.0	1.0	0.0	2.0	0.6853738501908272
49	2.0	1.0	0.0	1.0	2.0	2.0	1.0	2.0	0.6866746710893307
50	1.0	0.0	0.0	1.0	2.0	2.0	1.0	2.0	0.6868171872830864
