Unnamed: 0,ACCOAC,MDH,PTAr,CS,ACACT1r,PPC,PPCK,PFL,Isoprenol [mM] Pred,Isoprenol [mM]
0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.6831758515348467,0.7243049948738917
1,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.6817917651653326,0.6540998980251679
2,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.6819399109918354,0.7092798498068289
3,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.6774439308011934,0.7153127433388442
4,2.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.6836878206118335,0.6283795576480118
5,2.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.6783551666860236,0.6363748446004609
6,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.6843579842563244,0.6466242162990705
7,2.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.6818447397588244,0.649316336907906
8,2.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.6818637720814822,0.7181590551774968
9,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.6851288712734999,0.7207987105864377
10,2.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.684632964133981,0.7396577174432005
11,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.6834195374623104,0.7092798498068289
12,2.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.6846940017254881,0.7508339609075791
13,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.678847935348508,0.6990877673020433
14,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.6789532087105602,0.6554195791251991
15,2.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.6852933876704275,0.6282609063699436
16,2.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.6851070533702017,0.6400097711025785
17,1.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.683906368621936,0.6298293820734202
18,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.6826592459269061,0.6505648591544537
19,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.6840115420748472,0.7259912326813085
20,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.6848347597288595,0.7539511842651312
21,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.6849231869963335,0.6404911613115895
22,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.6843013384094225,0.6540998980251679
